Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Luciano Vietto,19.0,ar ARG,RW,24-335,45,0,0,0,0,1,1,0,0,21,2,1,0,0.1,0.1,0.0,0,0,9,15,60.0,0,9,1,0,0,Fulham
Kevin McDonald,6.0,sct SCO,DM,30-001,19,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,8,0,0,0,Fulham
Stefan Johansen,8.0,no NOR,DM,27-301,26,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.1,1,0,6,9,66.7,2,4,0,1,0,Fulham
Jean Seri,24.0,ci CIV,"AM,LM",27-109,90,0,0,0,0,1,0,0,0,75,3,1,2,0.1,0.1,0.2,4,0,49,61,80.3,3,23,0,2,0,Fulham
Andre-Frank Zambo Anguissa,29.0,cm CMR,"DM,CM",22-354,90,0,0,0,0,0,0,0,0,45,2,0,2,0.0,0.0,0.0,0,0,25,35,71.4,2,13,0,1,1,Fulham
Tom Cairney,10.0,sct SCO,"AM,RM",27-289,90,0,0,0,0,0,0,0,0,66,0,0,2,0.0,0.0,0.0,3,0,51,60,85.0,2,41,0,4,3,Fulham
Ryan Sessegnon,3.0,eng ENG,LB,18-171,90,0,0,0,0,0,0,0,0,88,0,2,3,0.0,0.0,0.0,1,0,42,73,57.5,4,29,3,7,3,Fulham
Maxime Le Marchand,20.0,fr FRA,CB,29-025,90,0,0,0,0,0,0,0,0,71,5,1,0,0.0,0.0,0.0,0,0,37,55,67.3,4,27,0,0,0,Fulham
Denis Odoi,4.0,gh GHA,CB,30-162,90,0,0,0,0,0,0,0,0,47,2,1,2,0.0,0.0,0.1,2,0,33,38,86.8,2,21,0,2,2,Fulham
Timothy Fosu-Mensah,21.0,nl NED,RB,20-307,45,0,0,0,0,0,0,1,0,29,1,1,0,0.0,0.0,0.0,0,0,20,26,76.9,3,13,2,1,1,Fulham
Cyrus Christie,22.0,ie IRL,RB,26-036,45,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,37,50,74.0,3,21,5,2,0,Fulham
Sergio Rico,25.0,es ESP,GK,25-065,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,1,0,26,46,56.5,0,25,0,0,0,Fulham
14 Players,,,,,990,0,0,0,0,8,1,2,0,666,17,7,14,0.4,0.4,0.4,15,0,394,553,71.2,26,286,14,27,13,Fulham
