Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Marcus Rashford,10.0,eng ENG,LW,26-047,20,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,2,0,0,Manchester United
Antony,21.0,br BRA,RW,23-296,81,0,0,0,0,1,0,0,0,36,7,0,1,0.0,0.0,0.1,3,0,15,24,62.5,2,20,4,3,1,Manchester United
Facundo Pellistri,28.0,uy URU,RW,21-362,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,2,1,Manchester United
Scott McTominay,39.0,sct SCO,AM,27-009,90,0,0,0,0,1,0,0,0,49,3,1,3,0.1,0.1,0.3,3,0,20,28,71.4,3,18,1,5,2,Manchester United
Sofyan Amrabat,4.0,ma MAR,DM,27-118,90,0,0,0,0,0,0,1,0,46,0,0,2,0.0,0.0,0.0,0,0,21,33,63.6,2,14,0,2,0,Manchester United
Kobbie Mainoo,37.0,eng ENG,DM,18-242,81,0,0,0,0,0,0,1,0,30,2,1,4,0.0,0.0,0.0,1,0,17,19,89.5,2,11,0,1,0,Manchester United
Hannibal Mejbri,46.0,tn TUN,DM,20-330,9,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,5,0,1,0,Manchester United
Luke Shaw,23.0,eng ENG,LB,28-158,90,0,0,0,0,0,0,1,0,64,1,1,5,0.0,0.0,0.0,0,0,31,45,68.9,3,16,1,0,0,Manchester United
Raphaël Varane,19.0,fr FRA,CB,30-236,90,0,0,0,0,0,0,0,0,58,0,3,2,0.0,0.0,0.0,0,0,28,37,75.7,0,8,0,0,0,Manchester United
Jonny Evans,35.0,nir NIR,CB,35-348,90,0,0,0,0,0,0,0,0,32,1,0,3,0.0,0.0,0.0,0,0,17,22,77.3,0,11,0,1,0,Manchester United
Diogo Dalot,20.0,pt POR,RB,24-274,89,0,0,0,0,0,0,2,1,51,3,1,1,0.0,0.0,0.0,1,0,24,38,63.2,2,12,1,0,0,Manchester United
André Onana,24.0,cm CMR,GK,27-259,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,31,47,66.0,0,31,0,0,0,Manchester United
14 Players,,,,,989,0,0,0,0,6,1,6,1,478,17,7,24,0.8,0.8,0.4,10,0,224,321,69.8,15,176,10,17,4,Manchester United
