Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Nicolas Jackson,15.0,sn SEN,FW,23-066,67,1,1,0,0,1,1,0,0,33,0,0,1,0.2,0.2,0.1,3,2,18,21,85.7,2,22,0,1,0,Chelsea
João Félix,14.0,pt POR,"RM,FW",24-289,23,1,0,0,0,2,1,0,0,17,0,0,1,0.3,0.3,0.0,0,0,10,13,76.9,1,14,3,1,1,Chelsea
Mykhailo Mudryk,10.0,ua UKR,LW,23-233,45,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,1,10,1,2,1,Chelsea
Pedro Neto,7.0,pt POR,LW,24-169,45,0,1,0,0,0,0,0,0,27,1,1,0,0.0,0.0,0.2,2,1,20,21,95.2,1,18,3,5,1,Chelsea
Noni Madueke,11.0,eng ENG,RW,22-168,90,3,0,0,0,6,5,0,0,32,1,0,0,0.6,0.6,0.4,3,1,16,21,76.2,1,29,5,0,0,Chelsea
Cole Palmer,20.0,eng ENG,AM,22-111,82,1,3,0,0,5,1,1,0,45,0,1,1,0.7,0.7,0.4,8,5,24,37,64.9,9,34,3,2,1,Chelsea
Christopher Nkunku,18.0,fr FRA,"FW,AM",26-285,8,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.1,2,0,1,1,100.0,0,1,0,2,2,Chelsea
Enzo Fernández,8.0,ar ARG,"DM,CM",23-221,90,0,0,0,0,0,0,0,0,65,4,0,1,0.0,0.0,0.1,4,0,43,59,72.9,4,39,2,2,1,Chelsea
Moisés Caicedo,25.0,ec ECU,DM,22-297,75,0,0,0,0,0,0,0,0,43,2,1,1,0.0,0.0,0.0,1,1,32,37,86.5,3,23,1,2,1,Chelsea
Kiernan Dewsbury-Hall,22.0,eng ENG,"LM,DM",25-354,15,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,1,8,1,0,0,Chelsea
Marc Cucurella,3.0,es ESP,LB,26-034,82,0,0,0,0,0,0,1,0,63,1,2,0,0.0,0.0,0.0,1,0,52,55,94.5,3,35,2,0,0,Chelsea
Renato Veiga,40.0,pt POR,LB,21-027,8,0,0,0,0,0,0,0,0,18,0,1,1,0.0,0.0,0.0,0,0,15,15,100.0,1,15,1,1,1,Chelsea
Levi Colwill,6.0,eng ENG,CB,21-181,90,0,0,0,0,0,0,0,0,85,1,1,2,0.0,0.0,0.0,0,0,71,77,92.2,1,54,0,0,0,Chelsea
Wesley Fofana,29.0,fr FRA,CB,23-252,90,0,0,0,0,0,0,0,0,54,0,1,0,0.0,0.0,0.0,0,0,42,47,89.4,2,42,2,1,0,Chelsea
Malo Gusto,27.0,fr FRA,RB,21-098,90,0,0,0,0,0,0,1,0,66,4,1,3,0.0,0.0,0.1,2,0,46,52,88.5,2,29,2,0,0,Chelsea
Robert Sánchez,1.0,es ESP,GK,26-281,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,1,1,40,48,83.3,0,33,0,0,0,Chelsea
16 Players,,,,,990,6,5,0,0,14,8,3,0,623,14,9,11,1.7,1.7,1.5,27,11,445,525,84.8,32,406,26,19,9,Chelsea
