Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Djed Spence,24.0,eng ENG,LB,24-135,90,0,0,0,0,0,0,0,0,84,5,1,4,0.0,0.0,0.0,0,0,65,70,92.9,4,52,5,4,2,Tottenham Hotspur
Archie Gray,14.0,eng ENG,CB,18-285,90,0,0,0,0,0,0,0,0,85,1,2,1,0.0,0.0,0.0,0,0,71,78,91.0,1,69,0,0,0,Tottenham Hotspur
Radu Drăgușin,6.0,ro ROU,CB,22-323,90,0,0,0,0,0,0,0,0,88,0,1,2,0.0,0.0,0.0,0,0,65,78,83.3,3,71,0,0,0,Tottenham Hotspur
Pedro Porro,23.0,es ESP,RB,25-100,90,0,0,0,0,0,0,0,0,81,3,1,0,0.0,0.0,0.1,3,0,56,72,77.8,9,47,3,2,1,Tottenham Hotspur
Fraser Forster,20.0,eng ENG,GK,36-280,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,26,31,83.9,0,12,0,0,0,Tottenham Hotspur
14 Players,,,,,990,3,2,0,0,9,5,1,0,711,20,8,12,1.3,1.3,1.1,13,4,490,589,83.2,35,460,21,26,10,Tottenham Hotspur
Luis Díaz,7.0,co COL,"FW,LW",27-344,86,2,0,0,0,7,5,0,0,45,0,0,0,1.1,1.1,0.2,6,1,30,34,88.2,10,27,2,1,1,Liverpool
Darwin Núñez,9.0,uy URU,LW,25-181,4,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,2,0,0,Liverpool
Cody Gakpo,18.0,nl NED,LW,25-229,67,0,0,0,0,1,0,1,0,35,2,0,1,0.1,0.1,0.3,3,0,16,22,72.7,3,23,3,2,0,Liverpool
Diogo Jota,20.0,pt POR,FW,28-018,23,0,0,0,0,1,0,0,0,17,0,0,1,0.1,0.1,0.0,3,0,12,13,92.3,5,11,2,0,0,Liverpool
Mohamed Salah,11.0,eg EGY,RW,32-190,86,2,2,0,0,7,3,0,0,27,0,0,0,2.4,2.4,1.1,7,2,10,15,66.7,5,22,2,4,1,Liverpool
Harvey Elliott,19.0,eng ENG,RW,21-262,4,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,1,3,0,1,0,Liverpool
Dominik Szoboszlai,8.0,hu HUN,AM,24-058,90,1,1,0,0,6,1,1,0,63,1,1,4,2.1,2.1,0.6,7,5,39,45,86.7,4,23,3,2,1,Liverpool
Alexis Mac Allister,10.0,ar ARG,DM,25-364,67,1,0,0,0,1,1,0,0,57,4,4,1,0.4,0.4,0.0,1,0,39,45,86.7,5,22,1,0,0,Liverpool
Curtis Jones,17.0,eng ENG,DM,23-327,23,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,0,0,15,15,100.0,0,14,0,0,0,Liverpool
Ryan Gravenberch,38.0,nl NED,DM,22-220,90,0,0,0,0,0,0,0,0,57,3,2,0,0.0,0.0,0.0,1,0,43,47,91.5,1,32,2,3,1,Liverpool
Andrew Robertson,26.0,sct SCO,LB,30-286,90,0,0,0,0,0,0,0,0,77,3,1,0,0.0,0.0,0.1,2,0,60,68,88.2,6,39,2,0,0,Liverpool
Virgil van Dijk,4.0,nl NED,CB,33-167,90,0,0,0,0,0,0,0,0,78,7,2,2,0.0,0.0,0.0,0,0,55,64,85.9,1,28,0,0,0,Liverpool
Joe Gomez,2.0,eng ENG,CB,27-213,90,0,0,0,0,0,0,0,0,74,2,1,0,0.0,0.0,0.0,2,1,58,64,90.6,7,49,0,0,0,Liverpool
Trent Alexander-Arnold,66.0,eng ENG,RB,26-076,90,0,1,0,0,1,1,0,0,93,3,3,2,0.0,0.0,1.1,7,1,53,76,69.7,7,49,0,0,0,Liverpool
Alisson,1.0,br BRA,GK,32-081,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.6,1,0,16,23,69.6,0,17,0,1,1,Liverpool
15 Players,,,,,990,6,4,0,0,24,11,2,0,681,27,15,12,6.2,6.2,3.9,40,10,453,540,83.9,55,361,19,14,5,Liverpool
