Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Pau Torres,14.0,es ESP,CB,27-284,90,0,0,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.0,0,0,34,37,91.9,5,26,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,27-003,90,0,0,0,0,1,1,0,0,73,2,1,0,0.1,0.1,0.1,3,0,59,67,88.1,3,57,0,1,1,Aston Villa
Matty Cash,2.0,pl POL,RB,27-080,90,0,0,0,0,0,0,1,0,52,1,2,1,0.0,0.0,0.1,2,0,39,45,86.7,1,27,1,1,1,Aston Villa
Emiliano Martínez,23.0,ar ARG,GK,32-054,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,1,0,40,52,76.9,0,29,0,0,0,Aston Villa
16 Players,,,,,990,1,1,0,0,18,8,7,0,562,11,11,7,1.8,1.8,1.3,33,2,383,475,80.6,37,362,18,13,6,Aston Villa
Enes Ünal,26.0,tr TUR,FW,27-169,63,0,0,0,0,2,0,1,0,23,1,0,0,0.1,0.1,0.0,0,0,8,11,72.7,2,10,0,2,0,Bournemouth
Evanilson,9.0,br BRA,FW,25-020,27,1,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,0,7,1,0,0,Bournemouth
Antoine Semenyo,24.0,gh GHA,LW,24-293,90,0,0,0,0,1,0,1,0,38,2,0,0,0.0,0.0,0.1,3,0,18,28,64.3,0,32,4,3,2,Bournemouth
Dango Ouattara,11.0,bf BFA,"RW,LB",22-258,90,0,0,0,0,2,1,0,0,34,1,1,1,0.0,0.0,0.0,1,0,8,15,53.3,0,9,2,3,0,Bournemouth
Justin Kluivert,19.0,nl NED,AM,25-174,63,0,0,0,0,2,1,1,0,19,0,0,2,0.0,0.0,0.0,2,0,9,12,75.0,2,11,1,2,1,Bournemouth
Marcus Tavernier,16.0,eng ENG,AM,25-218,27,0,1,0,0,1,0,1,0,16,1,0,0,0.0,0.0,0.1,3,2,9,13,69.2,1,9,3,0,0,Bournemouth
Lewis Cook,4.0,eng ENG,DM,27-266,90,0,0,0,0,0,0,0,0,61,2,1,3,0.0,0.0,0.0,1,0,44,52,84.6,6,35,1,0,0,Bournemouth
Ryan Christie,10.0,sct SCO,DM,29-247,80,0,0,0,0,0,0,0,0,57,2,1,0,0.0,0.0,0.0,1,0,39,46,84.8,8,35,1,1,1,Bournemouth
Tyler Adams,12.0,us USA,DM,25-255,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,2,0,0,0,Bournemouth
Milos Kerkez,3.0,hu HUN,LB,20-354,80,0,0,0,0,1,0,0,0,31,1,3,1,0.0,0.0,0.1,3,0,21,23,91.3,2,22,2,0,0,Bournemouth
David Brooks,7.0,wls WAL,RW,27-110,10,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,2,0,0,0,Bournemouth
Marcos Senesi,5.0,ar ARG,CB,27-169,90,0,0,0,0,0,0,0,0,74,3,1,1,0.0,0.0,0.0,1,0,52,68,76.5,8,52,1,1,1,Bournemouth
Illia Zabarnyi,27.0,ua UKR,CB,22-055,90,0,0,0,0,0,0,0,0,46,2,2,4,0.0,0.0,0.0,2,0,30,35,85.7,1,28,2,0,0,Bournemouth
Julian Araujo,22.0,mx MEX,RB,23-074,29,0,0,0,0,0,0,1,0,11,1,1,0,0.0,0.0,0.0,0,0,8,8,100.0,2,3,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RB,33-180,61,0,0,0,0,0,0,1,0,27,0,1,1,0.0,0.0,0.0,1,0,16,20,80.0,1,12,0,1,0,Bournemouth
Mark Travers,42.0,ie IRL,GK,25-161,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,18,23,78.3,0,11,0,0,0,Bournemouth
16 Players,,,,,990,1,1,0,0,10,3,6,0,484,17,11,13,0.3,0.3,0.3,20,2,288,365,78.9,34,280,18,13,5,Bournemouth
