Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
16 Players,,,,,990,2,1,1,1,8,2,3,0,798,21,6,16,2.6,1.8,1.8,18,4,595,677,87.9,28,460,13,21,7,Chelsea
Jean-Philippe Mateta,14.0,fr FRA,FW,26-182,90,0,0,0,0,1,1,0,0,32,1,0,2,0.1,0.1,0.1,6,0,14,18,77.8,0,25,3,8,4,Crystal Palace
Jordan Ayew,9.0,gh GHA,LW,32-107,78,0,1,0,0,0,0,0,0,36,3,0,2,0.0,0.0,0.5,2,1,17,25,68.0,1,23,2,4,1,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,"LW,LM",31-004,12,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.1,1,0,2,2,100.0,1,1,0,0,0,Crystal Palace
Michael Olise,7.0,fr FRA,RW,22-015,90,1,0,0,0,6,3,0,0,50,2,0,1,0.8,0.8,0.1,8,0,26,35,74.3,3,30,5,8,6,Crystal Palace
Eberechi Eze,10.0,eng ENG,"LM,RM",25-181,90,0,0,0,0,4,0,0,0,53,0,2,3,0.2,0.2,0.1,4,0,29,39,74.4,6,31,1,3,1,Crystal Palace
Chris Richards,26.0,us USA,CM,23-274,90,0,0,0,0,0,0,1,0,32,2,3,0,0.0,0.0,0.0,1,0,24,26,92.3,3,15,0,0,0,Crystal Palace
Jefferson Lerma,8.0,co COL,RM,29-063,89,0,0,0,0,0,0,0,0,37,3,1,1,0.0,0.0,0.0,0,0,23,33,69.7,3,16,0,0,0,Crystal Palace
Matheus França,11.0,br BRA,LW,19-270,1,0,0,0,0,1,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Crystal Palace
Tyrick Mitchell,3.0,eng ENG,LB,24-117,90,0,0,0,0,0,0,1,0,65,5,0,4,0.0,0.0,0.0,0,0,36,50,72.0,2,21,0,0,0,Crystal Palace
Marc Guéhi,6.0,eng ENG,CB,23-167,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,38,43,88.4,2,19,0,0,0,Crystal Palace
Joachim Andersen,16.0,dk DEN,CB,27-210,90,0,0,0,0,1,1,0,0,63,1,1,1,0.0,0.0,0.0,1,0,40,53,75.5,5,29,0,0,0,Crystal Palace
Nathaniel Clyne,17.0,eng ENG,RB,32-266,90,0,0,0,0,0,0,0,0,49,6,1,2,0.0,0.0,0.0,0,0,33,41,80.5,2,20,0,0,0,Crystal Palace
Dean Henderson,30.0,eng ENG,GK,26-290,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,23,26,88.5,0,12,0,0,0,Crystal Palace
13 Players,,,,,990,1,1,0,0,13,5,2,0,501,25,8,18,1.1,1.1,0.9,23,1,307,393,78.1,28,244,11,23,12,Crystal Palace
