Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Diogo Jota,20.0,pt POR,LW,25-157,90,0,0,0,0,2,0,0,0,40,1,0,0,0.1,0.1,0.3,4,1,23,33,69.7,2,17,4,2,0,Liverpool
Luis Díaz,23.0,co COL,RW,25-117,71,0,1,0,0,1,0,0,0,33,0,0,0,0.0,0.0,0.2,2,1,21,28,75.0,2,26,5,4,2,Liverpool
Mohamed Salah,11.0,eg EGY,RW,29-329,19,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,5,8,62.5,0,7,0,1,0,Liverpool
Curtis Jones,17.0,eng ENG,LM,21-100,61,0,0,0,0,2,1,0,0,40,1,0,1,0.1,0.1,0.0,2,0,30,35,85.7,4,28,3,2,2,Liverpool
Thiago Alcántara,6.0,es ESP,LM,31-029,29,0,0,0,0,0,0,0,0,25,0,0,2,0.0,0.0,0.0,0,0,22,23,95.7,2,15,1,0,0,Liverpool
Fabinho,3.0,br BRA,CM,28-199,29,0,0,0,0,0,0,0,0,15,2,0,1,0.0,0.0,0.0,0,0,8,9,88.9,0,8,0,0,0,Liverpool
Jordan Henderson,14.0,eng ENG,CM,31-327,61,0,0,0,0,0,0,0,0,50,2,0,0,0.0,0.0,0.0,3,0,42,47,89.4,6,22,0,1,1,Liverpool
Naby Keïta,8.0,gn GUI,RM,27-089,90,0,0,0,0,2,0,0,0,60,3,2,2,0.0,0.0,0.0,0,0,36,46,78.3,5,32,5,8,6,Liverpool
Kostas Tsimikas,21.0,gr GRE,LB,25-363,90,0,0,0,0,0,0,0,0,79,2,1,1,0.0,0.0,0.1,6,0,58,72,80.6,5,47,8,2,1,Liverpool
Virgil van Dijk,4.0,nl NED,CB,30-306,90,0,0,0,0,1,1,0,0,70,1,1,0,0.2,0.2,0.0,2,1,58,62,93.5,3,42,0,0,0,Liverpool
Joël Matip,32.0,cm CMR,CB,30-275,90,1,0,0,0,2,2,0,0,60,1,2,0,0.9,0.9,0.1,0,0,43,49,87.8,5,32,0,1,1,Liverpool
Trent Alexander-Arnold,66.0,eng ENG,RB,23-215,90,0,0,0,0,2,0,0,0,104,1,2,0,0.1,0.1,0.0,2,0,70,95,73.7,10,65,3,4,3,Liverpool
Alisson,1.0,br BRA,GK,29-220,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,15,0,0,0,Liverpool
14 Players,,,,,990,2,1,0,0,17,5,0,0,668,15,8,7,2.0,2.0,0.8,27,3,468,575,81.4,49,385,31,27,17,Liverpool
