Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Neal Maupay,20.0,fr FRA,FW,26-020,90,0,0,0,0,5,1,0,0,22,0,0,0,1.1,1.1,0.4,3,0,9,13,69.2,2,11,2,0,0,Everton
Anthony Gordon,10.0,eng ENG,LW,21-191,81,0,0,0,0,2,1,0,0,30,0,0,2,0.0,0.0,0.1,2,0,15,22,68.2,2,15,4,3,1,Everton
Dwight McNeil,7.0,eng ENG,LW,22-285,9,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,3,0,4,5,80.0,1,4,1,1,1,Everton
Demarai Gray,11.0,jm JAM,RW,26-067,90,0,0,0,0,2,1,0,0,43,1,0,0,0.1,0.1,0.6,8,0,22,35,62.9,3,23,6,5,2,Everton
Alex Iwobi,17.0,ng NGA,LM,26-123,90,0,0,0,0,1,0,0,0,46,1,0,0,0.0,0.0,0.1,2,0,33,38,86.8,5,16,0,2,0,Everton
Amadou Onana,8.0,be BEL,CM,21-018,90,0,0,0,0,1,0,1,0,40,7,1,0,0.1,0.1,0.1,1,0,23,26,88.5,1,13,0,0,0,Everton
Tom Davies,26.0,eng ENG,RM,24-065,61,0,0,0,0,1,0,0,0,31,1,1,1,0.3,0.3,0.0,1,0,12,23,52.2,4,13,0,1,0,Everton
Idrissa Gana Gueye,27.0,sn SEN,RM,32-342,29,0,0,0,0,0,0,0,0,13,1,2,0,0.0,0.0,0.0,0,0,7,10,70.0,0,6,0,0,0,Everton
Vitaliy Mykolenko,19.0,ua UKR,LB,23-097,90,0,0,0,0,0,0,0,0,61,3,1,2,0.0,0.0,0.0,1,0,31,46,67.4,1,11,0,0,0,Everton
