Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Danny Welbeck,18.0,eng ENG,FW,32-159,74,0,0,0,0,1,0,0,0,35,0,0,3,0.2,0.2,0.1,4,0,24,28,85.7,5,18,0,0,0,Brighton & Hove Albion
Deniz Undav,21.0,de GER,FW,26-289,16,0,0,0,0,1,0,0,0,8,1,0,0,0.1,0.1,0.0,0,0,6,6,100.0,2,4,1,0,0,Brighton & Hove Albion
Kaoru Mitoma,22.0,jp JPN,"LW,AM",25-349,90,0,0,0,0,5,2,0,0,41,3,3,1,0.7,0.7,0.2,5,0,14,21,66.7,2,24,7,4,1,Brighton & Hove Albion
Facundo Buonanotte,40.0,ar ARG,RW,18-132,62,0,0,0,0,2,0,0,0,42,0,1,2,0.0,0.0,0.0,1,0,23,29,79.3,2,27,2,5,1,Brighton & Hove Albion
Solly March,7.0,eng ENG,"WB,RW",28-288,28,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.2,6,0,10,14,71.4,0,11,4,4,3,Brighton & Hove Albion
Julio Enciso,20.0,py PAR,AM,19-101,90,0,0,0,0,5,0,0,0,39,1,0,1,0.2,0.2,0.2,6,1,16,24,66.7,2,21,3,7,3,Brighton & Hove Albion
Alexis Mac Allister,10.0,ar ARG,"DM,CM",24-131,90,1,0,1,1,2,1,0,0,76,3,0,2,0.9,0.1,0.2,4,0,56,63,88.9,9,37,1,5,2,Brighton & Hove Albion
Billy Gilmour,27.0,sct SCO,DM,21-327,74,0,0,0,0,0,0,0,0,54,1,2,2,0.0,0.0,0.0,1,0,40,44,90.9,3,25,0,2,0,Brighton & Hove Albion
Levi Colwill,6.0,eng ENG,CB,20-067,16,0,0,0,0,0,0,1,0,20,0,0,1,0.0,0.0,0.1,0,0,12,16,75.0,0,10,0,0,0,Brighton & Hove Albion
