Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Alex Telles,27.0,br BRA,LB,28-005,31,0,0,0,0,1,1,0,0,19,1,0,1,0.0,0.0,0.1,3,0,10,13,76.9,0,6,1,1,0,Manchester United
Harry Maguire,5.0,eng ENG,CB,27-290,90,0,0,0,0,3,1,0,0,38,1,3,2,0.1,0.1,0.0,2,0,22,24,91.7,2,18,0,0,0,Manchester United
Victor Lindelöf,2.0,se SWE,CB,26-156,90,1,0,0,0,1,1,0,0,46,0,1,1,0.3,0.3,0.0,0,0,24,32,75.0,1,22,0,1,0,Manchester United
Aaron Wan-Bissaka,29.0,cd COD,RB,23-024,90,0,0,0,0,0,0,0,0,61,5,1,4,0.0,0.0,0.0,0,0,30,43,69.8,3,19,2,1,1,Manchester United
David de Gea,1.0,es ESP,GK,30-043,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,19,30,63.3,0,11,0,0,0,Manchester United
14 Players,,,,,990,6,4,1,1,25,13,1,0,528,19,10,17,3.7,2.9,2.3,44,9,292,386,75.6,37,254,28,26,19,Manchester United
Patrick Bamford,9.0,eng ENG,FW,27-106,90,0,0,0,0,3,1,0,0,22,1,0,1,0.6,0.6,0.0,0,0,10,12,83.3,0,5,0,0,0,Leeds United
Jack Harrison,22.0,eng ENG,"RM,LM",24-030,90,0,0,0,0,2,0,0,0,59,3,0,1,0.4,0.4,0.2,5,1,28,47,59.6,2,35,3,3,1,Leeds United
Mateusz Klich,43.0,pl POL,CM,30-190,45,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.2,2,0,17,21,81.0,3,11,0,0,0,Leeds United
Jamie Shackleton,46.0,eng ENG,RB,21-073,45,0,0,0,0,0,0,0,0,25,1,1,1,0.0,0.0,0.0,0,0,20,20,100.0,0,5,1,0,0,Leeds United
Rodrigo,20.0,es ESP,CM,29-289,90,0,0,0,0,1,0,0,0,62,0,2,0,0.1,0.1,0.7,7,0,42,55,76.4,12,33,2,1,0,Leeds United
Raphinha,18.0,br BRA,"LM,RM",24-006,90,0,2,0,0,3,1,0,0,78,0,0,2,0.3,0.3,0.2,7,2,34,56,60.7,7,35,7,4,0,Leeds United
Kalvin Phillips,23.0,eng ENG,DM,25-018,45,0,0,0,0,0,0,0,0,31,2,2,2,0.0,0.0,0.0,1,0,17,24,70.8,3,14,0,0,0,Leeds United
Pascal Struijk,21.0,nl NED,DM,21-131,45,0,0,0,0,1,0,0,0,33,0,2,0,0.1,0.1,0.0,0,0,26,28,92.9,4,13,0,0,0,Leeds United
Ezgjan Alioski,10.0,mk MKD,LB,28-312,90,0,0,0,0,2,0,0,0,85,0,1,2,0.1,0.1,0.0,1,0,62,76,81.6,6,35,2,0,0,Leeds United
Liam Cooper,6.0,sct SCO,CB,29-112,71,1,0,0,0,1,1,0,0,60,3,2,3,0.1,0.1,0.0,1,0,41,48,85.4,0,22,0,0,0,Leeds United
Leif Davis,24.0,eng ENG,CB,20-343,19,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,0,0,12,14,85.7,1,10,1,0,0,Leeds United
Luke Ayling,2.0,eng ENG,CB,29-117,90,0,0,0,0,2,0,0,0,66,4,1,1,0.1,0.1,0.0,1,0,48,56,85.7,2,39,5,3,3,Leeds United
Stuart Dallas,15.0,nir NIR,"CM,RB",29-245,90,1,0,0,0,2,1,0,0,70,2,1,2,0.1,0.1,0.0,3,0,47,58,81.0,7,30,3,0,0,Leeds United
Illan Meslier,1.0,fr FRA,GK,20-293,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,28,32,87.5,0,25,0,0,0,Leeds United
14 Players,,,,,990,2,2,0,0,17,4,0,0,667,16,13,15,1.8,1.8,1.3,29,3,432,547,79.0,47,312,24,11,4,Leeds United
