Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,25-059,90,0,1,0,0,1,1,0,0,39,3,0,1,0.1,0.1,0.2,2,1,15,22,68.2,1,21,3,3,1,Aston Villa
Anwar El Ghazi,21.0,nl NED,LW,25-300,87,1,0,0,0,5,3,0,0,38,1,0,0,0.3,0.3,0.3,7,0,18,26,69.2,4,20,4,3,2,Aston Villa
Trézéguet,17.0,eg EGY,LW,26-149,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,2,2,3,2,Aston Villa
Bertrand Traoré,15.0,bf BFA,RW,25-174,90,0,0,0,0,0,0,0,0,35,2,0,2,0.0,0.0,0.0,0,0,12,21,57.1,0,12,0,2,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,LM,19-275,78,0,0,0,0,0,0,0,0,28,2,1,4,0.0,0.0,0.1,2,1,12,17,70.6,3,9,1,1,1,Aston Villa
Morgan Sanson,25.0,fr FRA,LM,26-193,12,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,2,2,Aston Villa
Marvelous Nakamba,19.0,zw ZIM,CM,27-039,90,0,0,0,0,0,0,0,0,30,2,5,2,0.0,0.0,0.0,0,0,9,17,52.9,1,14,0,0,0,Aston Villa
John McGinn,7.0,sct SCO,RM,26-132,90,0,0,0,0,0,0,0,0,27,1,3,1,0.0,0.0,0.0,2,0,13,16,81.3,4,14,1,2,1,Aston Villa
Matt Targett,18.0,eng ENG,LB,25-162,90,0,0,0,0,0,0,1,0,52,3,0,2,0.0,0.0,0.0,0,0,19,38,50.0,1,10,0,0,0,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,27-351,90,0,0,0,0,2,0,0,0,37,1,0,1,0.2,0.2,0.0,0,0,11,22,50.0,0,13,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,23-127,90,0,0,0,0,0,0,0,0,21,1,1,2,0.0,0.0,0.0,0,0,7,12,58.3,0,6,0,1,1,Aston Villa
Ahmed Elmohamady,27.0,eg EGY,RB,33-171,90,0,0,0,0,1,0,1,0,36,0,2,0,0.1,0.1,0.0,0,0,15,30,50.0,2,11,0,0,0,Aston Villa
Emiliano Martínez,26.0,ar ARG,GK,28-178,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,19,35,54.3,0,21,0,0,0,Aston Villa
13 Players,,,,,990,1,1,0,0,9,4,2,0,388,16,13,15,0.7,0.7,0.6,13,2,155,261,59.4,17,157,11,17,10,Aston Villa
