Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
David de Gea,1.0,es ESP,GK,27-033,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,21,36,58.3,0,17,0,0,0,Manchester United
14 Players,,,,,990,1,0,0,0,8,5,4,0,466,22,19,13,1.8,1.8,0.6,14,2,250,363,68.9,12,224,10,22,14,Manchester United
Gabriel Jesus,33.0,br BRA,FW,20-251,58,0,0,0,0,1,1,0,0,29,2,0,0,0.3,0.3,0.0,4,1,15,19,78.9,1,17,3,4,3,Manchester City
Eliaquim Mangala,15.0,fr FRA,FW,26-300,32,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,0,0,0,0,Manchester City
Leroy Sané,19.0,de GER,LW,21-333,87,0,0,0,0,2,1,0,0,51,2,1,0,0.1,0.1,0.1,6,1,29,36,80.6,1,32,6,7,3,Manchester City
Bernardo Silva,20.0,pt POR,LW,23-122,3,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,0,0,6,8,75.0,0,4,1,0,0,Manchester City
Raheem Sterling,7.0,eng ENG,RW,23-002,90,0,0,0,0,3,1,0,0,50,0,0,0,0.2,0.2,0.1,2,0,35,39,89.7,5,35,6,5,4,Manchester City
David Silva,21.0,es ESP,LM,31-336,90,1,0,0,0,1,1,1,0,72,1,0,1,0.4,0.4,0.0,2,0,50,66,75.8,11,54,10,3,3,Manchester City
Fernandinho,25.0,br BRA,"CB,CM",32-220,90,0,0,0,0,2,0,0,0,89,1,3,0,0.1,0.1,0.5,4,0,68,82,82.9,12,53,3,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,RM,26-165,90,0,0,0,0,2,1,0,0,98,2,2,2,0.1,0.1,0.1,1,0,68,88,77.3,10,61,5,2,2,Manchester City
Fabian Delph,18.0,eng ENG,LB,28-019,90,0,0,0,0,0,0,0,0,61,5,0,0,0.0,0.0,0.0,2,1,47,53,88.7,4,29,0,1,1,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,29-301,90,1,0,0,0,2,1,0,0,78,1,2,0,0.4,0.4,0.0,1,0,60,67,89.6,2,46,2,1,1,Manchester City
Vincent Kompany,4.0,be BEL,CB,31-244,45,0,0,0,0,0,0,0,0,48,0,1,0,0.0,0.0,0.0,1,0,44,47,93.6,2,33,1,0,0,Manchester City
İlkay Gündoğan,8.0,de GER,CM,27-047,45,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,17,21,81.0,4,16,3,0,0,Manchester City
Kyle Walker,2.0,eng ENG,RB,27-196,90,0,0,0,0,0,0,1,0,73,1,0,0,0.0,0.0,0.0,1,0,54,69,78.3,4,43,0,1,0,Manchester City
Ederson,31.0,br BRA,GK,24-115,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,26,37,70.3,0,16,0,0,0,Manchester City
14 Players,,,,,990,2,0,0,0,14,7,2,0,736,18,9,4,1.7,1.7,0.8,24,3,523,639,81.8,56,439,40,24,17,Manchester City
