Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Jesse Lingard,14.0,eng ENG,FW,28-348,14,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,1,0,Manchester United
Jadon Sancho,25.0,eng ENG,FW,21-248,63,1,0,0,0,1,1,0,0,25,0,0,0,0.8,0.8,0.0,2,1,16,21,76.2,2,12,1,1,1,Manchester United
Cristiano Ronaldo,7.0,pt POR,FW,36-296,27,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,3,0,1,0,Manchester United
Bruno Fernandes,18.0,pt POR,AM,27-081,88,0,0,0,0,1,0,1,0,51,2,2,1,0.0,0.0,0.0,1,0,28,38,73.7,1,25,1,3,1,Manchester United
Donny van de Beek,34.0,nl NED,AM,24-224,2,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,Manchester United
Fred,17.0,br BRA,LM,28-268,90,0,0,0,0,1,1,0,0,50,2,4,2,0.1,0.1,0.0,1,1,27,35,77.1,4,25,2,2,1,Manchester United
Nemanja Matić,31.0,rs SRB,CM,33-119,90,0,0,0,0,0,0,0,0,46,4,0,0,0.0,0.0,0.0,0,0,28,37,75.7,1,22,1,2,2,Manchester United
Scott McTominay,39.0,sct SCO,RM,24-355,90,0,0,0,0,0,0,1,0,44,4,0,4,0.0,0.0,0.0,0,0,24,26,92.3,1,12,0,1,1,Manchester United
Alex Telles,27.0,br BRA,LB,28-348,90,0,0,0,0,0,0,0,0,60,3,1,0,0.0,0.0,0.0,0,0,28,49,57.1,1,18,0,1,0,Manchester United
Eric Bailly,3.0,ci CIV,CB,27-230,90,0,0,0,0,0,0,1,0,39,2,1,1,0.0,0.0,0.0,0,0,24,26,92.3,1,20,0,0,0,Manchester United
Victor Lindelöf,2.0,se SWE,CB,27-134,90,0,0,0,0,0,0,0,0,39,0,1,3,0.0,0.0,0.0,0,0,18,25,72.0,0,15,0,0,0,Manchester United
Aaron Wan-Bissaka,29.0,cd COD,RB,24-002,90,0,0,0,0,0,0,0,0,54,3,0,6,0.0,0.0,0.0,0,0,26,36,72.2,0,21,1,5,3,Manchester United
David de Gea,1.0,es ESP,GK,31-021,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,14,29,48.3,0,10,0,0,0,Manchester United
14 Players,,,,,990,1,0,0,0,3,2,5,0,483,21,9,20,0.9,0.9,0.0,4,2,251,346,72.5,13,197,8,19,9,Manchester United
