Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Luka Milivojević,4.0,rs SRB,CM,26-134,76,0,0,0,0,1,0,0,0,38,2,1,2,0.1,0.1,0.0,0,0,27,31,87.1,1,23,0,1,1,Crystal Palace
Sullay Kaikai,25.0,sl SLE,CM,21-358,14,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,0,0,4,8,50.0,1,5,0,2,2,Crystal Palace
Jason Puncheon,42.0,eng ENG,CM,31-062,72,0,0,0,0,1,1,1,0,31,0,2,1,0.1,0.1,0.1,1,0,18,23,78.3,4,21,1,1,0,Crystal Palace
James McArthur,18.0,sct SCO,CM,29-316,18,0,0,0,0,0,0,0,0,9,0,2,0,0.0,0.0,0.0,0,0,4,7,57.1,0,6,0,0,0,Crystal Palace
Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-208,90,0,0,0,0,0,0,0,0,33,4,3,1,0.0,0.0,0.5,3,0,17,21,81.0,4,21,2,5,3,Crystal Palace
Patrick van Aanholt,3.0,nl NED,WB,26-355,83,0,0,0,0,0,0,1,0,37,4,5,2,0.0,0.0,0.0,0,0,13,23,56.5,2,19,1,1,0,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,WB,24-239,7,0,0,0,0,0,0,0,0,5,0,1,1,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,Crystal Palace
Joel Ward,2.0,eng ENG,WB,27-294,90,0,0,0,0,0,0,0,0,52,1,1,3,0.0,0.0,0.0,0,0,23,38,60.5,1,19,0,1,0,Crystal Palace
James Tomkins,5.0,eng ENG,CB,28-143,90,0,0,0,0,1,0,0,0,28,2,4,1,0.1,0.1,0.0,0,0,13,16,81.3,2,12,0,0,0,Crystal Palace
Scott Dann,6.0,eng ENG,CB,30-186,90,0,0,0,0,0,0,0,0,40,1,4,0,0.0,0.0,0.0,0,0,16,25,64.0,3,16,0,0,0,Crystal Palace
Timothy Fosu-Mensah,24.0,nl NED,CB,19-229,90,0,0,0,0,0,0,0,0,33,3,5,1,0.0,0.0,0.0,0,0,14,22,63.6,2,16,0,2,2,Crystal Palace
Wayne Hennessey,13.0,wls WAL,GK,30-207,90,0,0,0,0,0,0,0,0,51,0,1,0,0.0,0.0,0.0,0,0,20,44,45.5,0,24,0,0,0,Crystal Palace
14 Players,,,,,990,0,0,0,0,4,1,3,0,430,21,29,16,0.7,0.7,0.7,8,0,198,305,64.9,22,231,6,16,10,Crystal Palace
