Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Erik Durm,37.0,de GER,LB,26-273,35,0,0,0,0,0,0,0,0,34,1,1,1,0.0,0.0,0.0,1,0,22,28,78.6,0,10,0,0,0,Huddersfield Town
Christopher Schindler,26.0,de GER,CB,28-286,90,0,0,0,0,0,0,1,0,46,2,2,3,0.0,0.0,0.0,0,0,30,34,88.2,2,20,1,1,1,Huddersfield Town
Mathias Jørgensen,25.0,dk DEN,CB,28-292,90,0,0,0,0,0,0,0,0,39,0,3,0,0.0,0.0,0.0,0,0,30,35,85.7,5,19,0,0,0,Huddersfield Town
Tommy Smith,2.0,eng ENG,RB,26-301,90,0,0,0,0,0,0,0,0,71,3,1,1,0.0,0.0,0.1,2,0,47,66,71.2,10,34,3,1,1,Huddersfield Town
Ben Hamer,12.0,eng ENG,GK,31-081,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,13,24,54.2,0,10,0,0,0,Huddersfield Town
14 Players,,,,,990,1,0,0,0,16,6,3,0,668,26,21,18,1.9,1.9,0.8,23,1,414,543,76.2,66,337,24,14,8,Huddersfield Town
Alexandre Lacazette,9.0,fr FRA,FW,27-257,90,1,0,0,0,2,1,0,0,35,1,0,1,0.7,0.7,0.0,1,0,17,24,70.8,2,17,2,0,0,Arsenal
Alex Iwobi,17.0,ng NGA,LW,22-282,87,1,0,0,0,4,2,0,0,53,1,0,1,0.5,0.5,0.1,2,0,22,36,61.1,5,30,6,4,2,Arsenal
Joe Willock,59.0,eng ENG,RW,19-173,3,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Arsenal
Henrikh Mkhitaryan,7.0,am ARM,RW,30-019,75,0,0,0,0,1,1,0,0,42,1,1,1,0.1,0.1,0.4,4,2,20,28,71.4,5,20,2,4,2,Arsenal
Denis Suárez,22.0,es ESP,"RW,LW",25-034,15,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,6,7,85.7,0,4,0,1,1,Arsenal
Sead Kolašinac,31.0,ba BIH,LM,25-234,90,0,1,0,0,0,0,1,0,64,2,3,1,0.0,0.0,0.1,2,1,36,57,63.2,3,31,3,1,0,Arsenal
Mattéo Guendouzi,29.0,fr FRA,CM,19-301,90,0,0,0,0,0,0,0,0,45,0,2,1,0.0,0.0,0.0,0,0,29,35,82.9,7,33,0,1,0,Arsenal
Lucas Torreira,11.0,uy URU,CM,22-363,58,0,0,0,0,1,0,0,0,34,0,0,1,0.0,0.0,0.0,1,0,18,28,64.3,0,13,0,0,0,Arsenal
Mohamed Elneny,4.0,eg EGY,CM,26-213,32,0,0,0,0,1,0,0,0,21,2,0,1,0.1,0.1,0.0,0,0,13,16,81.3,1,8,0,0,0,Arsenal
Ainsley Maitland-Niles,15.0,eng ENG,RM,21-164,90,0,1,0,0,0,0,1,0,86,6,2,2,0.0,0.0,0.7,4,1,44,65,67.7,5,45,4,8,5,Arsenal
Nacho Monreal,18.0,es ESP,CB,32-348,90,0,0,0,0,0,0,0,0,37,1,2,3,0.0,0.0,0.0,0,0,24,28,85.7,2,11,0,0,0,Arsenal
Laurent Koscielny,6.0,fr FRA,CB,33-152,90,0,0,0,0,0,0,0,0,60,2,4,2,0.0,0.0,0.0,0,0,36,40,90.0,1,18,0,0,0,Arsenal
Shkodran Mustafi,20.0,de GER,CB,26-298,90,0,0,0,0,0,0,0,0,62,2,5,0,0.0,0.0,0.0,0,0,36,48,75.0,0,28,0,0,0,Arsenal
Bernd Leno,19.0,de GER,GK,26-342,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,35,71.4,0,19,0,0,0,Arsenal
14 Players,,,,,990,2,2,0,0,9,4,2,0,586,18,21,14,1.4,1.4,1.2,14,4,326,447,72.9,31,277,17,19,10,Arsenal
