Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Sergio Agüero,10.0,ar ARG,FW,30-270,84,1,0,1,1,2,0,0,0,48,0,0,0,0.9,0.1,0.1,2,0,34,39,87.2,8,32,2,0,0,Manchester City
Phil Foden,47.0,eng ENG,LW,18-275,6,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,15,66.7,0,6,1,0,0,Manchester City
Leroy Sané,19.0,de GER,LW,23-047,56,0,0,0,0,0,0,0,0,44,1,2,0,0.0,0.0,0.0,1,0,30,38,78.9,2,29,5,5,3,Manchester City
Bernardo Silva,20.0,pt POR,RW,24-201,34,0,0,0,0,1,0,0,0,28,0,0,0,0.5,0.5,0.9,4,1,22,24,91.7,3,22,5,1,1,Manchester City
Riyad Mahrez,26.0,dz ALG,RW,28-006,54,0,0,0,0,3,1,0,0,56,1,0,5,0.4,0.4,0.0,3,0,31,44,70.5,5,42,6,2,2,Manchester City
Raheem Sterling,7.0,eng ENG,"LW,FW,RW",24-081,36,0,0,0,0,3,2,0,0,27,1,0,1,0.5,0.5,0.0,3,0,17,20,85.0,3,16,3,3,1,Manchester City
David Silva,21.0,es ESP,"LM,RM",33-050,90,0,0,0,0,3,0,0,0,85,1,0,2,1.1,1.1,0.4,6,0,63,76,82.9,7,64,7,1,1,Manchester City
İlkay Gündoğan,8.0,de GER,CM,28-126,90,0,0,0,0,1,0,0,0,97,2,1,0,0.1,0.1,0.0,2,0,84,90,93.3,13,65,3,0,0,Manchester City
Kevin De Bruyne,17.0,be BEL,"RM,LM",27-244,90,0,0,0,0,3,1,0,0,88,0,0,1,0.1,0.1,0.9,6,0,53,83,63.9,10,62,8,1,1,Manchester City
Oleksandr Zinchenko,35.0,ua UKR,LB,22-074,90,0,0,0,0,0,0,0,0,132,3,2,1,0.0,0.0,0.0,3,0,108,121,89.3,7,86,6,2,1,Manchester City
Nicolás Otamendi,30.0,ar ARG,CB,31-015,90,0,0,0,0,1,0,0,0,108,1,1,0,0.1,0.1,0.0,3,0,96,102,94.1,7,87,1,1,1,Manchester City
Vincent Kompany,4.0,be BEL,CB,32-323,90,0,0,0,0,0,0,0,0,87,0,0,1,0.0,0.0,0.0,1,1,75,82,91.5,9,60,3,0,0,Manchester City
Danilo,3.0,br BRA,RB,27-227,90,0,0,0,0,2,1,0,0,94,4,2,2,0.1,0.1,0.0,0,0,68,84,81.0,11,51,3,0,0,Manchester City
Ederson,31.0,br BRA,GK,25-194,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,28,89.3,0,20,0,0,0,Manchester City
14 Players,,,,,990,1,0,1,1,19,5,0,0,937,14,8,13,3.8,3.0,2.4,34,2,716,846,84.6,85,642,53,16,11,Manchester City
