Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Michail Antonio,9.0,jm JAM,FW,31-210,90,1,0,0,0,2,1,0,0,32,0,0,1,0.3,0.3,0.2,3,0,12,17,70.6,2,20,2,3,1,West Ham United
Pablo Fornals,8.0,es ESP,LW,25-244,90,0,0,0,0,3,2,0,0,49,2,1,4,0.1,0.1,0.5,6,1,26,34,76.5,7,32,2,3,3,West Ham United
Jarrod Bowen,20.0,eng ENG,RW,24-308,89,0,0,0,0,2,0,0,0,31,3,0,1,0.1,0.1,0.1,2,0,12,17,70.6,2,17,2,1,1,West Ham United
Craig Dawson,15.0,eng ENG,RW,31-171,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,West Ham United
Saïd Benrahma,22.0,dz ALG,AM,26-075,84,0,0,0,0,3,1,0,0,42,1,0,1,0.2,0.2,0.0,2,0,23,28,82.1,3,23,2,5,1,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,28-251,6,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,2,0,0,0,West Ham United
Declan Rice,41.0,eng ENG,DM,22-283,90,0,0,0,0,0,0,0,0,57,8,2,0,0.0,0.0,0.0,2,0,38,42,90.5,5,26,2,3,2,West Ham United
Tomáš Souček,28.0,cz CZE,DM,26-239,90,0,0,0,0,2,0,1,0,56,1,1,2,0.5,0.5,0.1,2,0,33,42,78.6,4,27,3,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,31-313,90,0,1,0,0,0,0,0,0,70,2,1,2,0.0,0.0,0.3,2,1,44,62,71.0,4,41,1,0,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,33-154,90,0,0,0,0,0,0,1,0,47,0,3,0,0.0,0.0,0.0,0,0,31,39,79.5,2,26,1,0,0,West Ham United
Kurt Zouma,4.0,fr FRA,CB,26-362,90,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,1,0,36,44,81.8,2,24,0,0,0,West Ham United
Ben Johnson,31.0,eng ENG,RB,21-273,90,0,0,0,0,1,0,0,0,68,5,1,1,0.1,0.1,0.0,2,0,41,56,73.2,7,35,4,1,1,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,36-189,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,24,31,77.4,0,23,0,0,0,West Ham United
13 Players,,,,,990,1,1,0,0,13,4,2,0,544,23,9,14,1.3,1.3,1.1,22,2,327,419,78.0,38,298,19,16,9,West Ham United
