Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Troy Deeney,9.0,eng ENG,FW,30-317,90,0,0,0,0,5,2,0,0,41,0,0,1,0.8,0.8,0.1,2,0,18,30,60.0,4,20,1,0,0,Watford
Gerard Deulofeu,7.0,es ESP,FW,25-060,58,1,0,0,0,5,4,0,0,32,0,0,0,0.9,0.9,0.0,3,1,15,25,60.0,1,19,3,3,3,Watford
Andre Gray,18.0,jm JAM,FW,27-320,32,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,2,6,33.3,1,6,1,0,0,Watford
Roberto Pereyra,37.0,ar ARG,"AM,LM",28-125,90,0,0,0,0,1,1,0,0,55,1,0,1,0.1,0.1,0.1,4,0,43,49,87.8,7,33,3,1,0,Watford
Will Hughes,19.0,eng ENG,"AM,RM",24-025,66,0,0,0,0,3,1,0,0,52,5,0,0,0.2,0.2,0.0,1,0,28,43,65.1,5,32,5,1,0,Watford
Adam Masina,11.0,ma MAR,LB,25-130,24,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,6,10,60.0,0,4,0,0,0,Watford
Étienne Capoue,29.0,fr FRA,"DM,RM,CB",30-305,90,0,0,0,0,0,0,1,0,66,2,0,1,0.0,0.0,0.0,1,0,51,61,83.6,6,29,0,0,0,Watford
Abdoulaye Doucouré,16.0,ml MLI,"DM,AM,CM",26-131,90,0,0,0,0,2,0,0,0,80,1,1,0,0.1,0.1,0.6,5,0,63,72,87.5,7,53,2,1,1,Watford
José Holebas,25.0,gr GRE,LB,34-319,47,0,0,0,0,0,0,0,1,25,2,0,0,0.0,0.0,0.3,4,0,15,22,68.2,1,14,2,0,0,Watford
Craig Cathcart,15.0,nir NIR,"CB,LB",30-095,90,0,0,0,0,0,0,0,0,44,3,1,0,0.0,0.0,0.0,2,0,29,34,85.3,3,23,1,0,0,Watford
Christian Kabasele,27.0,be BEL,CB,28-077,77,0,0,0,0,0,0,0,0,38,1,1,1,0.0,0.0,0.0,0,0,27,30,90.0,1,17,0,0,0,Watford
Adrian Mariappa,6.0,jm JAM,CB,32-221,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,1,0,4,4,100.0,0,3,0,0,0,Watford
Kiko Femenía,21.0,es ESP,RB,28-099,90,0,0,0,0,0,0,0,0,55,1,1,0,0.0,0.0,0.1,4,0,39,50,78.0,7,27,3,2,1,Watford
Ben Foster,26.0,eng ENG,GK,36-039,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,21,31,67.7,0,15,0,0,0,Watford
14 Players,,,,,947,1,0,0,0,17,8,1,1,551,17,4,4,2.3,2.3,1.3,27,1,361,467,77.3,43,295,21,8,5,Watford
