Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Joelinton,9.0,br BRA,FW,24-278,45,0,0,0,0,2,0,0,0,16,1,0,1,0.3,0.3,0.0,2,0,9,12,75.0,0,9,0,1,1,Newcastle United
Dwight Gayle,12.0,eng ENG,FW,30-214,45,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,1,0,12,13,92.3,1,5,0,1,0,Newcastle United
Allan Saint-Maximin,10.0,fr FRA,FW,24-068,70,0,0,0,0,1,0,0,0,46,0,0,0,0.0,0.0,0.1,7,1,32,37,86.5,8,34,5,16,15,Newcastle United
Sean Longstaff,36.0,eng ENG,CM,23-201,20,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,1,0,0,0,Newcastle United
Miguel Almirón,24.0,py PAR,"CM,FW",27-098,90,0,0,0,0,2,1,0,0,53,0,1,0,0.1,0.1,0.0,0,0,39,44,88.6,7,36,5,2,1,Newcastle United
Jonjo Shelvey,8.0,eng ENG,CM,29-081,90,0,0,0,0,3,1,0,0,78,2,3,1,0.5,0.5,0.1,4,0,57,65,87.7,9,29,1,1,0,Newcastle United
Joe Willock,28.0,eng ENG,CM,21-272,84,1,0,0,0,2,2,0,0,38,1,0,1,0.5,0.5,0.1,4,0,22,24,91.7,4,20,4,9,6,Newcastle United
Andy Carroll,7.0,eng ENG,FW,32-133,6,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,1,1,0,0,0,Newcastle United
Matt Ritchie,11.0,sct SCO,LB,31-251,90,0,0,0,0,1,0,0,0,55,0,1,0,0.1,0.1,0.4,3,0,36,44,81.8,3,18,0,1,0,Newcastle United
Paul Dummett,3.0,wls WAL,CB,29-235,90,0,0,0,0,2,0,0,0,83,2,0,0,0.1,0.1,0.0,1,0,56,70,80.0,0,28,0,0,0,Newcastle United
Federico Fernández,18.0,ar ARG,CB,32-087,90,0,0,0,0,1,1,0,0,88,1,0,0,0.0,0.0,0.0,1,0,72,77,93.5,2,47,0,1,0,Newcastle United
Emil Krafth,17.0,se SWE,CB,26-290,90,0,0,0,0,0,0,0,0,65,1,0,0,0.0,0.0,0.0,2,0,52,59,88.1,1,24,2,0,0,Newcastle United
Jacob Murphy,23.0,eng ENG,RB,26-084,90,0,1,0,0,2,0,0,0,52,0,1,0,0.1,0.1,0.7,4,1,36,41,87.8,3,19,0,3,1,Newcastle United
Martin Dúbravka,1.0,sk SVK,GK,32-124,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,33,36,91.7,0,15,0,0,0,Newcastle United
14 Players,,,,,990,1,1,0,0,16,5,0,0,639,8,6,4,1.7,1.7,1.4,29,2,465,534,87.1,39,286,17,35,24,Newcastle United
