Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Glenn Murray,17.0,eng ENG,FW,35-137,90,0,0,0,0,2,0,0,0,35,0,0,0,0.1,0.1,0.0,2,0,16,23,69.6,1,20,0,2,1,Brighton & Hove Albion
Jürgen Locadia,9.0,cw CUW,LW,25-094,65,0,0,0,0,0,0,0,0,20,2,0,1,0.0,0.0,0.1,4,0,9,15,60.0,2,11,2,1,1,Brighton & Hove Albion
Alireza Jahanbakhsh,16.0,ir IRN,LW,25-182,25,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,8,11,72.7,1,9,0,0,0,Brighton & Hove Albion
Solly March,20.0,eng ENG,RW,24-204,47,0,0,0,0,2,2,0,0,27,2,0,0,0.1,0.1,0.1,2,0,13,20,65.0,1,19,1,0,0,Brighton & Hove Albion
Anthony Knockaert,11.0,fr FRA,RW,27-081,43,0,1,0,0,1,0,0,0,29,0,0,0,0.1,0.1,0.2,1,1,15,27,55.6,1,21,2,1,0,Brighton & Hove Albion
Davy Pröpper,24.0,nl NED,LM,27-160,90,0,0,0,0,3,0,0,0,53,0,0,1,0.1,0.1,0.0,2,0,29,42,69.0,8,31,4,0,0,Brighton & Hove Albion
Dale Stephens,6.0,eng ENG,CM,29-242,90,0,0,0,0,0,0,0,0,69,1,3,0,0.0,0.0,0.0,7,0,54,63,85.7,10,40,1,0,0,Brighton & Hove Albion
Pascal Groß,13.0,de GER,RM,27-239,65,0,0,0,0,4,2,0,0,64,1,0,0,0.3,0.3,0.2,4,0,39,55,70.9,6,29,1,0,0,Brighton & Hove Albion
Yves Bissouma,8.0,ml MLI,RM,22-163,25,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.0,1,1,22,24,91.7,2,17,3,1,1,Brighton & Hove Albion
Gaëtan Bong,3.0,cm CMR,LB,30-290,90,0,0,0,0,0,0,0,0,90,0,4,3,0.0,0.0,0.1,2,0,50,73,68.5,9,41,2,2,2,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,27-080,90,0,0,0,0,0,0,0,0,78,3,2,2,0.0,0.0,0.1,2,0,61,69,88.4,7,42,1,0,0,Brighton & Hove Albion
Shane Duffy,4.0,ie IRL,CB,27-039,90,1,0,0,0,3,1,0,0,89,0,2,0,0.3,0.3,0.0,0,0,55,76,72.4,4,45,0,0,0,Brighton & Hove Albion
Martín Montoya,22.0,es ESP,RB,27-301,90,0,0,0,0,0,0,0,0,79,1,0,1,0.0,0.0,0.1,4,0,62,72,86.1,11,50,3,2,1,Brighton & Hove Albion
Mathew Ryan,1.0,au AUS,GK,26-307,90,0,0,0,0,0,0,1,0,34,0,0,0,0.0,0.0,0.0,0,0,22,32,68.8,0,16,0,0,0,Brighton & Hove Albion
14 Players,,,,,990,1,1,0,0,16,5,1,0,704,11,11,8,1.2,1.2,0.9,32,2,455,602,75.6,63,391,20,9,6,Brighton & Hove Albion
