Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Glenn Murray,17.0,eng ENG,FW,34-201,90,1,0,0,0,4,1,0,0,35,1,0,0,1.1,1.1,0.0,3,0,12,23,52.2,2,17,0,1,1,Brighton & Hove Albion
Jürgen Locadia,25.0,cw CUW,LW,24-158,45,0,1,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,1,6,9,66.7,1,4,0,0,0,Brighton & Hove Albion
Anthony Knockaert,11.0,fr FRA,"LW,RM",26-145,45,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.1,1,0,12,21,57.1,1,16,2,4,2,Brighton & Hove Albion
José Izquierdo,19.0,co COL,"RW,LM",25-281,90,1,0,0,0,2,1,0,0,25,3,1,1,0.2,0.2,0.1,2,1,10,16,62.5,1,17,2,2,2,Brighton & Hove Albion
Dale Stephens,6.0,eng ENG,"LM,CM",28-306,90,0,0,0,0,1,1,1,0,52,3,1,2,0.0,0.0,0.0,2,0,32,41,78.0,4,27,0,0,0,Brighton & Hove Albion
Beram Kayal,7.0,il ISR,CM,29-347,90,0,0,0,0,0,0,1,0,46,1,0,1,0.0,0.0,0.2,3,0,33,41,80.5,8,23,1,2,1,Brighton & Hove Albion
Pascal Groß,13.0,de GER,RM,26-303,70,0,0,0,0,1,0,0,0,43,1,1,1,0.0,0.0,0.1,1,0,26,37,70.3,1,17,2,0,0,Brighton & Hove Albion
Leonardo Ulloa,16.0,ar ARG,"RM,FW",31-262,20,0,0,0,0,1,0,0,0,11,1,0,0,0.1,0.1,0.0,0,0,3,6,50.0,1,4,0,0,0,Brighton & Hove Albion
Gaëtan Bong,3.0,cm CMR,LB,29-354,85,0,0,0,0,0,0,0,0,45,0,1,0,0.0,0.0,0.1,1,0,23,36,63.9,2,20,3,1,0,Brighton & Hove Albion
Solly March,20.0,eng ENG,LB,23-268,5,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,5,9,55.6,1,7,1,0,0,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,26-144,90,0,1,0,0,1,0,0,0,64,3,1,0,0.1,0.1,0.8,2,1,48,55,87.3,6,38,1,1,1,Brighton & Hove Albion
Shane Duffy,22.0,ie IRL,CB,26-103,90,0,0,0,0,2,0,0,0,56,0,1,3,0.1,0.1,0.0,1,0,22,37,59.5,3,19,0,0,0,Brighton & Hove Albion
Ezequiel Schelotto,21.0,it ITA,RB,28-326,90,0,0,0,0,0,0,0,0,58,1,1,0,0.0,0.0,0.0,1,0,35,50,70.0,3,19,3,1,1,Brighton & Hove Albion
Mathew Ryan,1.0,au AUS,GK,26-006,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,16,29,55.2,0,15,0,0,0,Brighton & Hove Albion
14 Players,,,,,990,2,2,0,0,12,3,2,0,514,14,8,8,1.5,1.5,1.5,20,3,283,410,69.0,34,243,15,12,8,Brighton & Hove Albion
