Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Adama Traoré,37.0,es ESP,FW,22-309,72,0,0,0,0,1,0,0,0,38,1,0,0,0.0,0.0,0.0,2,0,17,22,77.3,3,21,3,7,3,Wolverhampton Wanderers
Morgan Gibbs-White,17.0,eng ENG,AM,18-307,18,0,0,0,0,2,0,0,0,16,0,0,0,0.1,0.1,0.0,1,0,9,12,75.0,0,8,0,0,0,Wolverhampton Wanderers
Hélder Costa,10.0,ao ANG,AM,24-322,65,0,0,0,0,0,0,0,0,33,1,1,1,0.0,0.0,0.0,1,0,12,20,60.0,2,22,0,4,0,Wolverhampton Wanderers
Diogo Jota,18.0,pt POR,AM,21-361,25,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.1,3,0,8,13,61.5,2,14,2,1,0,Wolverhampton Wanderers
Raúl Jiménez,9.0,mx MEX,"AM,FW",27-209,90,0,0,0,0,3,1,0,0,48,0,0,1,0.2,0.2,0.1,4,1,15,37,40.5,3,27,2,1,1,Wolverhampton Wanderers
Rúben Neves,8.0,pt POR,CM,21-262,90,0,0,0,0,5,1,1,0,58,2,1,0,0.1,0.1,0.0,2,0,33,45,73.3,9,26,1,0,0,Wolverhampton Wanderers
João Moutinho,28.0,pt POR,CM,32-083,90,0,0,0,0,1,0,0,0,49,4,0,2,0.0,0.0,0.1,4,0,29,37,78.4,4,10,0,0,0,Wolverhampton Wanderers
Rúben Vinagre,29.0,pt POR,WB,19-235,81,0,0,0,0,0,0,0,0,37,2,1,1,0.0,0.0,0.1,2,0,22,28,78.6,3,13,3,1,1,Wolverhampton Wanderers
Ivan Cavaleiro,7.0,pt POR,WB,25-043,9,0,0,0,0,2,1,0,0,11,1,0,0,0.1,0.1,0.1,3,0,5,8,62.5,1,5,2,0,0,Wolverhampton Wanderers
Matt Doherty,2.0,ie IRL,WB,26-318,90,1,0,0,0,1,1,0,0,73,2,0,1,0.2,0.2,0.0,1,0,38,57,66.7,4,17,1,3,0,Wolverhampton Wanderers
Willy Boly,15.0,ci CIV,CB,27-300,90,0,0,0,0,0,0,0,0,63,3,3,2,0.0,0.0,0.0,4,0,25,42,59.5,7,20,0,0,0,Wolverhampton Wanderers
Conor Coady,16.0,eng ENG,CB,25-278,90,0,0,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.0,0,0,12,19,63.2,1,10,0,0,0,Wolverhampton Wanderers
Romain Saïss,27.0,ma MAR,CB,28-249,90,0,0,0,0,0,0,1,0,55,2,1,4,0.0,0.0,0.0,1,0,23,35,65.7,4,16,1,0,0,Wolverhampton Wanderers
Rui Patrício,11.0,pt POR,GK,30-288,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,0,6,0,0,0,Wolverhampton Wanderers
14 Players,,,,,990,1,0,0,0,15,4,2,0,549,21,8,13,0.8,0.8,0.5,28,1,267,397,67.3,43,215,15,17,5,Wolverhampton Wanderers
