Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Joselu,21.0,es ESP,FW,27-243,68,0,0,0,0,4,2,0,0,35,1,2,2,0.5,0.5,0.0,2,0,15,24,62.5,4,16,1,1,1,Newcastle United
Aleksandar Mitrović,45.0,rs SRB,FW,23-070,22,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,1,0,12,17,70.6,1,17,2,1,1,Newcastle United
Dwight Gayle,9.0,eng ENG,FW,27-039,90,0,0,0,0,0,0,0,0,32,0,1,1,0.0,0.0,0.0,1,0,21,24,87.5,2,16,0,3,1,Newcastle United
Jacob Murphy,7.0,eng ENG,LM,22-274,76,0,0,0,0,2,0,0,0,43,1,0,1,0.1,0.1,0.4,4,0,19,29,65.5,5,26,6,6,3,Newcastle United
Ayoze Pérez,17.0,es ESP,RM,24-119,14,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,6,2,3,1,Newcastle United
Mohamed Diamé,10.0,sn SEN,CM,30-164,68,0,0,0,0,0,0,0,0,45,4,2,2,0.0,0.0,0.0,1,0,27,33,81.8,1,21,0,2,1,Newcastle United
Mikel Merino,23.0,es ESP,CM,21-156,22,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.1,1,0,25,33,75.8,3,28,2,0,0,Newcastle United
Jonjo Shelvey,8.0,eng ENG,CM,25-271,90,0,0,0,0,2,0,1,0,83,1,1,2,0.1,0.1,0.0,2,0,56,77,72.7,7,58,1,1,1,Newcastle United
Matt Ritchie,11.0,sct SCO,"RM,LM",28-076,90,0,0,0,0,2,0,0,0,59,0,1,0,0.1,0.1,0.1,1,0,38,52,73.1,5,35,3,2,1,Newcastle United
Javier Manquillo,19.0,es ESP,LB,23-204,90,0,0,0,0,0,0,0,0,49,0,2,2,0.0,0.0,0.0,2,0,32,39,82.1,3,25,2,2,0,Newcastle United
Ciaran Clark,2.0,ie IRL,CB,28-060,90,0,0,0,0,0,0,0,0,65,1,1,0,0.0,0.0,0.0,1,0,42,56,75.0,1,37,0,0,0,Newcastle United
Florian Lejeune,20.0,fr FRA,CB,26-189,90,0,0,0,0,0,0,0,0,81,2,8,1,0.0,0.0,0.0,0,0,55,65,84.6,7,48,4,0,0,Newcastle United
DeAndre Yedlin,22.0,us USA,RB,24-139,90,0,0,0,0,0,0,0,0,65,2,2,3,0.0,0.0,0.1,3,0,40,51,78.4,3,28,1,2,1,Newcastle United
Rob Elliot,1.0,ie IRL,GK,31-209,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,23,36,63.9,0,17,0,0,0,Newcastle United
14 Players,,,,,990,0,0,0,0,12,2,1,0,656,12,21,14,0.9,0.9,0.8,19,0,406,538,75.5,42,378,24,23,11,Newcastle United
