Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Tyler Roberts,11.0,wls WAL,FW,22-322,89,0,0,0,0,1,1,1,0,25,0,0,3,0.0,0.0,0.1,4,0,11,16,68.8,2,14,0,3,1,Leeds United
Charlie Cresswell,35.0,eng ENG,CM,19-105,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,Leeds United
Daniel James,20.0,wls WAL,LM,24-020,90,0,0,0,0,4,0,0,0,44,3,1,2,0.2,0.2,0.1,2,0,16,23,69.6,5,28,4,4,0,Leeds United
Mateusz Klich,43.0,pl POL,CM,31-170,45,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,5,10,50.0,0,9,0,1,1,Leeds United
Rodrigo,19.0,es ESP,"CM,RW",30-269,45,0,0,0,0,1,0,0,0,23,0,1,1,0.1,0.1,0.0,2,0,13,17,76.5,3,14,1,1,0,Leeds United
Adam Forshaw,4.0,eng ENG,CM,30-053,90,0,0,0,0,3,1,1,0,55,4,1,0,0.1,0.1,0.0,1,0,39,43,90.7,5,34,0,1,0,Leeds United
Raphinha,10.0,br BRA,RM,24-351,90,1,0,1,1,1,0,0,0,58,1,1,1,0.8,0.0,0.0,3,0,21,40,52.5,4,31,1,6,1,Leeds United
Kalvin Phillips,23.0,eng ENG,DM,25-363,90,0,0,0,0,2,0,0,0,69,3,1,1,0.1,0.1,0.0,3,0,42,54,77.8,3,42,1,0,0,Leeds United
Pascal Struijk,21.0,nl NED,LB,22-111,45,0,0,0,0,0,0,1,0,29,2,1,0,0.0,0.0,0.0,0,0,20,25,80.0,3,20,0,0,0,Leeds United
Junior Firpo,3.0,do DOM,LB,25-100,45,0,0,0,0,0,0,1,0,53,2,0,0,0.0,0.0,0.0,4,0,40,51,78.4,9,38,2,0,0,Leeds United
Liam Cooper,6.0,sct SCO,CB,30-092,90,0,0,0,0,1,0,0,0,95,2,1,2,0.0,0.0,0.0,2,1,71,81,87.7,7,56,2,0,0,Leeds United
Diego Llorente,14.0,es ESP,CB,28-106,90,0,0,0,0,0,0,0,0,79,0,2,1,0.0,0.0,0.0,0,0,51,65,78.5,3,51,3,0,0,Leeds United
Stuart Dallas,15.0,nir NIR,RB,30-225,90,0,0,0,0,1,0,1,0,58,6,2,2,0.1,0.1,0.1,4,0,34,45,75.6,6,30,1,2,1,Leeds United
Illan Meslier,1.0,fr FRA,GK,21-273,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,35,40,87.5,0,23,0,0,0,Leeds United
14 Players,,,,,990,1,0,1,1,14,2,5,0,645,23,12,13,1.4,0.6,0.3,25,1,398,512,77.7,50,390,15,18,4,Leeds United
