Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Danny Ings,9.0,eng ENG,FW,28-073,90,0,0,0,0,2,1,0,0,41,1,0,2,0.1,0.1,0.1,3,0,17,31,54.8,3,23,0,0,0,Southampton
Che Adams,10.0,sct SCO,FW,24-083,83,0,0,0,0,2,1,0,0,31,1,0,1,0.7,0.7,0.0,2,0,15,22,68.2,3,25,2,2,1,Southampton
Shane Long,7.0,ie IRL,FW,33-256,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,5,0.0,0,4,1,0,0,Southampton
Moussa Djenepo,12.0,ml MLI,LM,22-111,54,1,0,0,0,1,1,1,0,20,1,0,0,0.1,0.1,0.0,1,0,10,14,71.4,1,13,0,1,0,Southampton
Nathan Redmond,11.0,eng ENG,LM,26-212,36,0,0,0,0,0,0,0,0,19,3,0,1,0.0,0.0,0.0,2,1,10,11,90.9,2,11,1,1,0,Southampton
Oriol Romeu,6.0,es ESP,CM,29-010,90,1,0,0,0,2,1,0,0,82,5,3,2,0.1,0.1,0.0,1,0,56,68,82.4,2,43,3,0,0,Southampton
James Ward-Prowse,8.0,eng ENG,CM,25-338,90,0,0,0,0,0,0,0,0,76,2,1,1,0.0,0.0,0.2,5,0,49,69,71.0,2,39,1,0,0,Southampton
Stuart Armstrong,17.0,sct SCO,RM,28-188,90,0,1,0,0,2,0,0,0,52,3,2,0,0.1,0.1,0.1,3,1,31,41,75.6,6,38,2,1,0,Southampton
Ryan Bertrand,3.0,eng ENG,LB,31-060,90,0,0,0,0,1,1,0,0,76,3,3,0,0.1,0.1,0.0,0,0,50,68,73.5,4,40,1,0,0,Southampton
Jannik Vestergaard,4.0,dk DEN,CB,28-062,90,0,0,0,0,0,0,0,0,67,1,2,0,0.0,0.0,0.0,0,0,52,61,85.2,4,44,0,0,0,Southampton
Jan Bednarek,35.0,pl POL,CB,24-175,90,0,0,0,0,1,1,0,0,65,0,2,1,0.1,0.1,0.0,2,0,53,60,88.3,3,45,0,0,0,Southampton
Kyle Walker-Peters,2.0,eng ENG,RB,23-174,90,0,0,0,0,2,1,1,0,83,1,2,0,0.1,0.1,0.0,1,0,58,77,75.3,1,53,6,7,5,Southampton
Alex McCarthy,1.0,eng ENG,GK,30-306,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,36,49,73.5,0,36,0,0,0,Southampton
13 Players,,,,,990,2,1,0,0,13,7,2,0,669,21,15,8,1.2,1.2,0.5,20,2,437,576,75.9,31,414,17,12,6,Southampton
