Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Richarlison,7.0,br BRA,FW,23-283,90,1,0,0,0,1,1,1,0,27,0,1,0,1.0,1.0,0.0,1,0,12,19,63.2,4,19,1,0,0,Everton
Gylfi Sigurðsson,10.0,is ISL,FW,31-162,90,0,0,0,0,1,1,0,0,39,1,1,1,0.1,0.1,0.0,0,0,29,33,87.9,4,24,1,0,0,Everton
Lucas Digne,12.0,fr FRA,LM,27-212,90,0,0,0,0,1,0,0,0,29,3,2,0,0.1,0.1,0.0,1,1,11,19,57.9,1,19,0,0,0,Everton
Tom Davies,26.0,eng ENG,CM,22-232,68,0,0,0,0,0,0,0,0,26,1,4,0,0.0,0.0,0.0,0,0,14,19,73.7,1,22,0,1,0,Everton
James Rodríguez,19.0,co COL,CM,29-220,22,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,9,14,64.3,1,9,1,1,1,Everton
Abdoulaye Doucouré,16.0,ml MLI,CM,28-047,90,0,0,0,0,0,0,1,0,39,2,0,0,0.0,0.0,0.0,0,0,23,34,67.6,2,21,3,0,0,Everton
Alex Iwobi,17.0,ng NGA,RM,24-290,68,0,0,0,0,0,0,0,0,27,4,0,1,0.0,0.0,0.1,2,0,18,20,90.0,2,17,1,6,4,Everton
Joshua King,11.0,no NOR,RM,29-033,22,0,0,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.0,0,0,1,5,20.0,0,4,1,1,0,Everton
Ben Godfrey,22.0,eng ENG,LB,23-033,90,0,0,0,0,0,0,0,0,38,2,1,3,0.0,0.0,0.0,0,0,20,23,87.0,1,16,3,1,0,Everton
Michael Keane,5.0,eng ENG,CB,28-037,90,0,0,0,0,0,0,0,0,52,0,2,3,0.0,0.0,0.0,0,0,35,42,83.3,1,35,0,0,0,Everton
Yerry Mina,13.0,co COL,CB,26-147,17,0,0,0,0,0,0,0,0,8,0,1,2,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RB,32-129,73,0,0,0,0,0,0,0,0,27,4,0,1,0.0,0.0,0.1,1,0,13,20,65.0,0,18,0,1,0,Everton
Mason Holgate,4.0,jm JAM,"CB,RB",24-118,90,0,0,0,0,0,0,0,0,46,0,2,2,0.0,0.0,0.0,0,0,25,35,71.4,1,25,0,0,0,Everton
Jordan Pickford,1.0,eng ENG,GK,26-347,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,30,49,61.2,0,33,0,0,0,Everton
14 Players,,,,,990,1,0,0,0,3,2,2,0,438,18,14,15,1.1,1.1,0.1,5,1,242,336,72.0,18,266,11,11,5,Everton
