Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Lucas Pérez,27.0,es ESP,FW,30-108,77,0,0,0,0,2,0,0,0,20,0,0,0,0.2,0.2,0.0,2,0,12,16,75.0,1,12,0,1,0,West Ham United
Mark Noble,16.0,eng ENG,AM,31-233,13,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.1,0,0,7,9,77.8,1,7,0,1,0,West Ham United
Felipe Anderson,8.0,br BRA,"LW,LM",25-256,90,2,0,0,0,5,4,0,0,69,4,0,0,0.6,0.6,0.1,8,1,43,54,79.6,5,43,8,4,2,West Ham United
Grady Diangana,45.0,cd COD,RW,20-252,54,0,0,0,0,1,0,0,0,39,2,0,0,0.0,0.0,0.0,0,0,20,25,80.0,0,16,1,5,3,West Ham United
Andy Carroll,9.0,eng ENG,FW,29-355,36,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,1,0,16,25,64.0,0,12,0,0,0,West Ham United
Robert Snodgrass,11.0,sct SCO,"AM,RM,RW",31-111,89,0,0,0,0,2,1,0,0,64,3,1,3,0.1,0.1,0.0,4,0,31,46,67.4,1,30,4,4,3,West Ham United
Arthur Masuaku,26.0,cd COD,RW,25-050,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,2,0,0,0,West Ham United
Declan Rice,41.0,eng ENG,"DM,CM",19-347,90,0,0,0,0,2,0,0,0,52,2,1,3,0.1,0.1,0.0,1,0,35,38,92.1,3,24,0,3,3,West Ham United
Pedro Obiang,14.0,gq EQG,"DM,CM",26-275,90,0,0,0,0,0,0,0,0,68,2,0,2,0.0,0.0,0.0,1,0,43,59,72.9,5,36,0,2,2,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,29-012,90,0,0,0,0,0,0,0,0,99,2,2,4,0.0,0.0,0.1,4,1,60,79,75.9,5,42,5,3,1,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,30-218,90,0,0,0,0,0,0,0,0,52,1,3,0,0.0,0.0,0.1,1,0,33,41,80.5,3,24,0,0,0,West Ham United
Issa Diop,23.0,fr FRA,CB,21-352,90,0,0,0,0,1,0,0,0,59,2,3,2,0.1,0.1,0.0,1,1,36,45,80.0,4,27,0,0,0,West Ham United
Michail Antonio,30.0,jm JAM,RB,28-274,90,0,1,0,0,3,0,0,0,89,1,3,1,0.1,0.1,0.5,5,1,46,66,69.7,9,42,6,10,8,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,33-253,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.1,1,0,23,34,67.6,0,17,0,0,0,West Ham United
14 Players,,,,,990,2,1,0,0,16,5,0,0,690,20,13,15,1.2,1.2,1.0,30,4,408,541,75.4,37,334,24,33,22,West Ham United
