Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Richarlison,7.0,br BRA,"FW,LW,LM",24-311,87,0,0,0,0,0,0,1,0,25,1,0,0,0.0,0.0,0.0,2,0,8,16,50.0,0,13,1,2,1,Everton
André Gomes,21.0,pt POR,CM,28-230,3,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,0,Everton
Demarai Gray,11.0,jm JAM,LW,25-262,75,0,0,0,0,3,0,0,0,28,0,0,0,0.2,0.2,0.0,2,0,16,22,72.7,2,15,2,3,1,Everton
Dominic Calvert-Lewin,9.0,eng ENG,FW,25-001,15,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.2,1,1,3,6,50.0,1,3,0,0,0,Everton
Alex Iwobi,17.0,ng NGA,"RW,RM",25-318,90,1,0,0,0,1,1,0,0,33,2,1,2,0.2,0.2,0.0,1,1,15,18,83.3,2,14,2,1,0,Everton
Anthony Gordon,24.0,eng ENG,"AM,LM,CM",21-021,89,0,0,0,0,2,1,1,0,38,3,0,0,0.1,0.1,0.0,3,0,14,22,63.6,3,18,1,5,2,Everton
Andros Townsend,14.0,eng ENG,LM,30-244,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Everton
Allan,6.0,br BRA,DM,31-068,82,0,0,0,0,0,0,0,1,42,5,0,2,0.0,0.0,0.1,1,0,26,33,78.8,3,16,0,2,2,Everton
Abdoulaye Doucouré,16.0,ml MLI,"DM,CM",29-075,90,0,0,0,0,1,0,0,0,43,3,0,2,0.0,0.0,0.0,1,0,21,30,70.0,3,13,0,0,0,Everton
Ben Godfrey,22.0,eng ENG,LB,24-061,90,0,0,0,0,1,1,0,0,53,1,0,1,0.0,0.0,0.0,1,0,32,41,78.0,6,15,1,0,0,Everton
Michael Keane,5.0,eng ENG,CB,29-065,90,0,0,0,0,0,0,0,0,43,1,1,0,0.0,0.0,0.0,2,0,26,35,74.3,3,12,0,0,0,Everton
Mason Holgate,4.0,jm JAM,CB,25-146,90,0,0,0,0,0,0,0,0,40,0,0,3,0.0,0.0,0.0,0,0,17,27,63.0,2,9,0,0,0,Everton
Séamus Coleman,23.0,ie IRL,RB,33-157,90,0,0,0,0,1,0,0,0,39,1,1,2,0.1,0.1,0.1,3,0,18,30,60.0,2,10,0,2,1,Everton
Asmir Begović,15.0,ba BIH,GK,34-270,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,9,32,28.1,0,14,0,0,0,Everton
14 Players,,,,,982,1,1,0,0,9,3,2,1,435,18,3,12,0.7,0.7,0.4,17,2,206,314,65.6,27,154,7,16,7,Everton
