Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Michail Antonio,9.0,jm JAM,FW,32-006,90,0,0,0,0,3,1,0,0,32,0,0,0,0.5,0.5,0.1,6,1,15,20,75.0,2,25,4,8,6,West Ham United
Pablo Fornals,8.0,es ESP,"AM,LW,RW",26-040,90,0,0,0,0,2,0,0,0,49,1,0,1,0.2,0.2,0.3,3,1,29,41,70.7,4,28,1,1,0,West Ham United
Jarrod Bowen,20.0,eng ENG,RW,25-104,69,1,0,0,0,2,2,0,0,22,1,0,0,0.4,0.4,0.1,3,1,14,18,77.8,7,14,1,0,0,West Ham United
Mark Noble,16.0,eng ENG,"LM,DM",34-330,21,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,27,28,96.4,0,21,0,0,0,West Ham United
Saïd Benrahma,22.0,dz ALG,"LW,AM",26-236,81,0,0,0,0,2,1,0,0,56,2,0,1,0.1,0.1,0.2,2,0,34,47,72.3,2,32,4,1,0,West Ham United
Andriy Yarmolenko,7.0,ua UKR,RW,32-162,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,West Ham United
Declan Rice,41.0,eng ENG,"DM,CM",23-079,90,0,0,0,0,0,0,0,0,98,1,3,2,0.0,0.0,0.0,2,0,82,88,93.2,11,69,4,0,0,West Ham United
Tomáš Souček,28.0,cz CZE,"DM,RM,AM",27-035,90,0,0,0,0,0,0,0,0,58,2,0,0,0.0,0.0,0.0,0,0,38,49,77.6,3,20,0,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,32-109,90,1,0,0,0,2,1,1,0,82,0,0,0,0.2,0.2,0.0,0,0,66,81,81.5,7,55,2,0,0,West Ham United
Kurt Zouma,4.0,fr FRA,CB,27-158,90,0,0,0,0,0,0,0,0,75,0,1,1,0.0,0.0,0.0,0,0,58,65,89.2,4,51,1,0,0,West Ham United
Craig Dawson,15.0,eng ENG,CB,31-332,90,0,0,0,0,0,0,0,0,65,1,0,1,0.0,0.0,0.0,1,0,47,57,82.5,1,39,1,0,0,West Ham United
Ryan Fredericks,24.0,eng ENG,RB,29-175,90,0,0,0,0,0,0,0,0,49,2,0,1,0.0,0.0,0.1,1,0,33,43,76.7,1,24,0,0,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,36-350,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,17,24,70.8,0,12,0,0,0,West Ham United
13 Players,,,,,990,2,0,0,0,11,5,1,0,643,11,4,7,1.3,1.3,0.7,19,3,462,564,81.9,42,393,18,10,6,West Ham United
