Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jarrod Bowen,20.0,eng ENG,"RW,FW",28-106,90,1,0,0,0,4,1,0,0,40,2,2,0,0.4,0.4,0.0,2,0,15,21,71.4,4,28,2,4,2,West Ham United
Lucas Paquetá,10.0,br BRA,"LW,AM",27-221,90,0,0,0,0,1,0,0,0,68,0,1,0,0.0,0.0,0.1,3,1,41,58,70.7,6,48,0,2,1,West Ham United
Mohammed Kudus,14.0,gh GHA,"RW,LW,FW",24-246,83,0,1,0,0,0,0,1,0,35,0,0,0,0.0,0.0,0.1,4,2,18,20,90.0,0,27,2,10,3,West Ham United
Luis Guilherme,17.0,br BRA,LW,19-055,7,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,2,0,5,7,71.4,0,6,2,2,2,West Ham United
Tomáš Souček,28.0,cz CZE,AM,30-037,53,0,0,0,0,1,0,0,0,28,1,1,1,0.0,0.0,0.0,0,0,13,19,68.4,0,15,0,0,0,West Ham United
Niclas Füllkrug,11.0,de GER,FW,32-055,37,1,0,0,0,1,1,0,0,26,0,0,0,0.1,0.1,0.1,1,0,10,21,47.6,0,12,1,1,1,West Ham United
James Ward-Prowse,8.0,eng ENG,DM,30-155,90,0,1,0,0,0,0,1,0,72,0,0,0,0.0,0.0,0.2,2,1,56,68,82.4,5,49,2,1,1,West Ham United
Edson Álvarez,19.0,mx MEX,DM,27-163,53,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,0,0,39,44,88.6,5,37,0,0,0,West Ham United
Carlos Soler,4.0,es ESP,DM,28-093,37,0,0,0,0,1,1,0,0,17,0,1,2,0.0,0.0,0.0,0,0,11,11,100.0,3,8,1,0,0,West Ham United
Oliver Scarles,57.0,eng ENG,LB,19-114,45,0,0,0,0,0,0,0,0,32,1,0,1,0.0,0.0,0.0,0,0,25,27,92.6,2,18,2,0,0,West Ham United
Emerson Palmieri,33.0,it ITA,LB,30-245,45,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,3,11,2,0,0,West Ham United
Max Kilman,26.0,eng ENG,CB,27-317,90,0,0,0,0,0,0,0,0,50,1,1,0,0.0,0.0,0.0,0,0,31,40,77.5,2,24,0,0,0,West Ham United
Jean-Clair Todibo,25.0,fr FRA,CB,25-096,83,0,0,0,0,0,0,0,0,65,3,0,1,0.0,0.0,0.0,0,0,44,56,78.6,2,48,1,0,0,West Ham United
Konstantinos Mavropanos,15.0,gr GRE,CB,27-115,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,West Ham United
Aaron Wan-Bissaka,29.0,cd COD,RB,27-130,90,0,0,0,0,0,0,0,0,77,2,1,1,0.0,0.0,0.0,2,0,53,65,81.5,4,38,1,1,1,West Ham United
Alphonse Areola,23.0,fr FRA,GK,32-037,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,29,46,63.0,0,34,0,0,0,West Ham United
16 Players,,,,,990,2,2,0,0,9,3,2,0,644,11,7,6,0.7,0.7,0.6,16,4,409,526,77.8,36,404,16,21,11,West Ham United
