Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Lyle Foster,17.0,za RSA,FW,23-153,90,0,0,0,0,1,0,0,0,26,2,0,0,0.0,0.0,0.0,2,1,9,17,52.9,2,16,3,2,2,Burnley
Zeki Amdouni,25.0,ch SUI,FW,23-061,62,0,0,0,0,1,0,0,0,20,1,1,2,0.0,0.0,0.0,1,0,6,10,60.0,2,12,5,2,0,Burnley
David Datro Fofana,23.0,ci CIV,FW,21-043,28,2,0,0,0,2,2,1,0,14,2,0,1,1.1,1.1,0.1,1,0,0,3,0.0,0,8,0,1,0,Burnley
Wilson Odobert,47.0,fr FRA,LM,19-067,90,0,0,0,0,2,0,0,0,33,0,0,2,0.1,0.1,0.0,4,0,16,22,72.7,2,21,7,4,3,Burnley
Aaron Ramsey,21.0,eng ENG,CM,21-013,62,0,0,0,0,1,1,0,0,29,3,0,0,0.2,0.2,0.0,1,0,15,19,78.9,1,13,0,0,0,Burnley
Jóhann Berg Guðmundsson,7.0,is ISL,CM,33-099,28,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,1,7,10,70.0,1,8,0,0,0,Burnley
Sander Berge,16.0,no NOR,CM,25-354,90,0,0,0,0,2,1,1,0,68,2,1,3,0.1,0.1,0.0,2,1,39,55,70.9,2,39,0,1,1,Burnley
Josh Brownhill,8.0,eng ENG,RM,28-046,90,0,0,0,0,2,0,0,0,51,2,1,2,0.3,0.3,0.3,5,0,28,41,68.3,1,16,0,1,1,Burnley
Vitinho,22.0,br BRA,LB,24-195,86,0,0,0,0,1,0,0,0,65,1,1,3,0.0,0.0,0.0,3,0,31,51,60.8,3,34,2,3,1,Burnley
Jacob Bruun Larsen,34.0,dk DEN,LB,25-137,4,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,1,1,0,Burnley
Hjalmar Ekdal,18.0,se SWE,CB,25-105,45,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,3,14,0,0,0,Burnley
Maxime Estève,33.0,fr FRA,CB,21-253,45,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,0,0,38,46,82.6,2,35,0,0,0,Burnley
Dara O'Shea,2.0,ie IRL,CB,24-336,90,0,0,0,0,0,0,0,0,62,0,1,1,0.0,0.0,0.0,1,0,41,50,82.0,8,32,0,0,0,Burnley
Lorenz Assignon,20.0,tg TOG,RB,23-226,89,0,1,0,0,0,0,0,0,32,1,1,0,0.0,0.0,0.9,2,1,17,24,70.8,3,15,3,2,1,Burnley
Han-Noah Massengo,42.0,fr FRA,RB,22-211,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,1,0,0,Burnley
James Trafford,1.0,eng ENG,GK,21-116,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,39,53,73.6,0,38,0,0,0,Burnley
16 Players,,,,,990,2,1,0,0,12,4,2,0,556,15,8,16,1.8,1.8,1.4,23,4,307,428,71.7,30,307,22,17,9,Burnley
