Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Yoane Wissa,11.0,cd COD,FW,27-028,90,0,0,0,0,2,0,0,0,20,1,1,1,0.4,0.4,0.2,3,1,8,11,72.7,0,8,1,1,0,Brentford
Keane Lewis-Potter,23.0,eng ENG,LW,22-221,74,0,0,0,0,1,0,0,0,46,1,1,0,0.0,0.0,0.0,0,0,26,35,74.3,3,36,4,5,2,Brentford
Neal Maupay,7.0,fr FRA,FW,27-048,16,0,0,0,0,3,1,0,0,15,0,0,1,0.3,0.3,0.0,3,0,7,10,70.0,0,10,0,1,0,Brentford
Bryan Mbeumo,19.0,cm CMR,"RW,WB",24-055,90,0,0,0,0,2,0,0,0,73,0,0,1,0.2,0.2,0.3,7,0,53,65,81.5,6,48,3,4,3,Brentford
Vitaly Janelt,27.0,de GER,"LM,CM,DM",25-144,88,0,0,0,0,1,0,0,0,56,2,0,2,0.0,0.0,0.2,3,0,45,51,88.2,4,41,0,0,0,Brentford
Michael Olakigbe,37.0,eng ENG,WB,19-159,2,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,0,0,4,6,66.7,0,7,1,1,0,Brentford
Christian Nørgaard,6.0,dk DEN,"CM,DM",29-205,90,1,0,0,0,4,1,0,0,83,0,1,2,0.5,0.5,0.1,3,0,57,73,78.1,7,56,0,0,0,Brentford
Mathias Jensen,8.0,dk DEN,RM,27-273,68,0,1,0,0,0,0,0,0,42,2,1,0,0.0,0.0,0.3,3,1,20,31,64.5,5,22,0,0,0,Brentford
Frank Onyeka,15.0,ng NGA,"CM,AM",25-273,22,0,0,0,0,1,0,1,0,16,1,0,0,0.0,0.0,0.2,2,0,12,14,85.7,2,12,1,0,0,Brentford
Aaron Hickey,2.0,sct SCO,LB,21-113,68,0,0,0,0,0,0,1,0,33,1,0,1,0.0,0.0,0.0,0,0,21,25,84.0,3,21,1,1,0,Brentford
Saman Ghoddos,14.0,ir IRN,"CM,WB,RB",30-025,22,0,0,0,0,0,0,0,0,26,1,0,1,0.0,0.0,0.0,2,0,18,22,81.8,3,17,2,0,0,Brentford
Ethan Pinnock,5.0,jm JAM,"CB,LB",30-125,90,0,0,0,0,2,1,0,0,95,0,1,1,0.1,0.1,0.0,2,0,80,88,90.9,10,68,4,0,0,Brentford
Nathan Collins,22.0,ie IRL,CB,22-154,90,0,0,0,0,0,0,0,0,94,0,4,0,0.0,0.0,0.0,1,0,76,85,89.4,9,77,0,0,0,Brentford
Kristoffer Ajer,20.0,no NOR,"RB,CB",25-167,88,0,0,0,0,1,0,0,0,74,2,1,0,0.1,0.1,0.0,0,0,51,66,77.3,3,53,4,0,0,Brentford
Mads Roerslev,30.0,dk DEN,CB,24-099,2,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.1,2,0,12,18,66.7,1,15,1,0,0,Brentford
Mark Flekken,1.0,nl NED,GK,30-110,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,35,37,94.6,0,30,0,0,0,Brentford
16 Players,,,,,990,1,1,0,0,18,3,2,0,738,11,10,10,1.7,1.7,1.3,31,2,525,637,82.4,56,521,22,13,5,Brentford
