Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Lyle Foster,17.0,za RSA,FW,23-209,69,0,0,0,0,2,1,0,0,18,0,0,0,0.5,0.5,0.1,2,0,6,11,54.5,0,8,2,2,1,Burnley
Jay Rodriguez,9.0,eng ENG,FW,34-245,21,0,0,0,0,3,0,0,0,15,0,0,1,0.4,0.4,0.0,2,0,9,10,90.0,0,8,1,1,1,Burnley
Zeki Amdouni,25.0,ch SUI,FW,23-117,44,0,0,0,0,1,0,0,0,10,0,1,0,0.1,0.1,0.0,3,0,6,6,100.0,0,8,1,0,0,Burnley
Charlie Taylor,3.0,eng ENG,LB,30-194,46,0,0,0,0,0,0,0,0,33,2,0,2,0.0,0.0,0.0,0,0,13,25,52.0,2,10,0,1,0,Burnley
Wilson Odobert,47.0,fr FRA,"LM,RM",19-123,69,0,0,0,0,2,1,0,0,26,0,0,2,0.1,0.1,0.1,5,0,13,16,81.3,3,17,2,3,3,Burnley
Jóhann Berg Guðmundsson,7.0,is ISL,RM,33-155,21,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,Burnley
Sander Berge,16.0,no NOR,CM,26-045,90,0,0,0,0,1,0,0,0,28,0,0,1,0.1,0.1,0.1,3,0,20,24,83.3,6,12,1,1,1,Burnley
Josh Cullen,24.0,ie IRL,CM,27-358,90,1,1,0,0,2,2,1,0,50,0,1,1,0.1,0.1,0.3,6,3,35,38,92.1,3,13,0,0,0,Burnley
Jacob Bruun Larsen,34.0,dk DEN,RM,25-193,45,0,0,0,0,4,1,0,0,21,0,0,0,0.3,0.3,0.1,3,0,9,14,64.3,0,5,1,0,0,Burnley
Josh Brownhill,8.0,eng ENG,LM,28-102,45,0,1,0,0,0,0,0,0,35,3,3,2,0.0,0.0,0.1,2,1,17,23,73.9,2,10,0,0,0,Burnley
Vitinho,22.0,br BRA,"RB,LB",24-251,90,0,0,0,0,0,0,0,0,40,2,0,1,0.0,0.0,0.0,1,0,17,25,68.0,3,20,4,6,0,Burnley
Maxime Estève,33.0,fr FRA,CB,21-309,90,0,0,0,0,2,0,1,0,39,0,3,2,0.1,0.1,0.0,0,0,21,28,75.0,1,16,0,0,0,Burnley
Dara O'Shea,2.0,ie IRL,CB,25-026,90,1,0,0,0,1,1,0,0,30,1,1,2,0.0,0.0,0.1,3,0,15,20,75.0,0,6,0,0,0,Burnley
Lorenz Assignon,20.0,tg TOG,RB,23-282,39,0,0,0,0,0,0,2,1,16,1,1,1,0.0,0.0,0.0,2,0,9,10,90.0,1,4,1,1,0,Burnley
Arijanet Muric,49.0,xk KVX,GK,25-144,90,0,0,0,0,0,0,0,0,56,1,0,0,0.0,0.0,0.0,1,0,35,50,70.0,0,29,0,0,0,Burnley
15 Players,,,,,939,2,2,0,0,18,6,4,1,425,10,11,15,1.6,1.6,0.9,33,4,227,303,74.9,21,167,13,15,6,Burnley
