Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Oliver McBurnie,9.0,sct SCO,FW,27-274,45,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,9,66.7,0,6,0,0,0,Sheffield United
William Osula,32.0,dk DEN,FW,20-213,45,0,0,0,0,1,0,0,0,11,0,1,0,0.1,0.1,0.0,0,0,2,3,66.7,0,3,0,1,0,Sheffield United
Gustavo Hamer,8.0,nl NED,"LM,RM,LW",26-254,90,0,0,0,0,0,0,0,0,26,0,2,0,0.0,0.0,0.0,0,0,16,22,72.7,1,10,1,1,0,Sheffield United
James Mcatee,28.0,eng ENG,"RM,RW",21-138,45,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,4,1,1,1,Sheffield United
George Baldock,2.0,gr GRE,"CB,RB",30-361,45,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,3,0,6,9,66.7,1,7,1,1,1,Sheffield United
Tom Davies,22.0,eng ENG,CM,25-248,45,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,1,5,0,0,0,Sheffield United
Andre Brooks,35.0,eng ENG,"LM,CM",20-197,45,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,3,6,50.0,1,2,0,1,0,Sheffield United
Vinicius Souza,21.0,br BRA,CM,24-261,90,0,0,0,0,0,0,0,0,32,4,1,2,0.0,0.0,0.0,0,0,15,19,78.9,1,10,0,0,0,Sheffield United
Oliver Norwood,16.0,nir NIR,CM,32-327,16,0,0,0,0,0,0,0,0,6,0,1,2,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,Sheffield United
Ben Osborn,23.0,eng ENG,LB,29-212,74,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,17,23,73.9,2,15,0,0,0,Sheffield United
Auston Trusty,5.0,us USA,"CB,LB",25-205,90,0,0,0,0,0,0,0,0,31,0,2,1,0.0,0.0,0.0,0,0,12,20,60.0,0,7,0,0,0,Sheffield United
Jack Robinson,19.0,eng ENG,CB,30-185,90,0,0,0,0,0,0,0,0,42,2,3,3,0.0,0.0,0.0,0,0,18,29,62.1,1,22,0,0,0,Sheffield United
Anel Ahmedhodžić,15.0,ba BIH,CB,24-344,63,0,0,0,0,0,0,0,0,32,3,1,1,0.0,0.0,0.0,0,0,12,20,60.0,2,13,1,0,0,Sheffield United
Oliver Arblaster,24.0,eng ENG,CM,19-304,27,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,1,0,8,8,100.0,1,4,0,0,0,Sheffield United
Jayden Bogle,20.0,eng ENG,"RB,RM",23-221,90,0,0,0,0,2,0,1,0,31,4,2,0,0.1,0.1,0.0,0,0,11,15,73.3,1,12,1,2,0,Sheffield United
Ivo Grbić,13.0,hr CRO,GK,28-046,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,12,28,42.9,0,14,0,0,0,Sheffield United
16 Players,,,,,990,0,0,0,0,4,0,1,0,328,14,14,11,0.2,0.2,0.2,6,0,147,227,64.8,13,134,5,7,2,Sheffield United
