Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Morgan Gibbs-White,10.0,eng ENG,FW,23-067,70,0,0,0,0,1,0,0,0,33,0,0,3,0.1,0.1,0.0,2,0,14,22,63.6,3,12,1,2,2,Nottingham Forest
Gustavo Scarpa,31.0,br BRA,LW,29-089,20,0,0,0,0,1,0,0,0,16,1,0,1,0.0,0.0,0.0,1,0,5,10,50.0,1,9,1,2,0,Nottingham Forest
Emmanuel Dennis,25.0,ng NGA,AM,25-140,70,0,1,0,0,3,0,0,0,31,0,0,3,0.2,0.2,0.2,2,1,9,15,60.0,0,17,2,6,3,Nottingham Forest
André Ayew,34.0,gh GHA,AM,33-108,20,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,4,6,66.7,0,4,0,1,1,Nottingham Forest
Brennan Johnson,20.0,wls WAL,"AM,RW",21-316,90,0,0,0,0,0,0,1,0,28,0,1,0,0.0,0.0,0.0,2,0,11,19,57.9,3,14,2,5,0,Nottingham Forest
Danilo,28.0,br BRA,LM,21-340,55,0,0,0,0,0,0,0,0,22,0,0,3,0.0,0.0,0.0,2,1,8,11,72.7,4,8,0,1,1,Nottingham Forest
Taiwo Awoniyi,9.0,ng NGA,"FW,LM",25-235,35,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,1,0,4,6,66.7,0,3,0,0,0,Nottingham Forest
Remo Freuler,23.0,ch SUI,CM,30-354,63,0,0,0,0,1,0,0,0,34,1,0,3,0.1,0.1,0.1,1,0,15,21,71.4,0,8,0,0,0,Nottingham Forest
Cheikhou Kouyaté,21.0,sn SEN,"DM,CM",33-104,27,0,0,0,0,0,0,1,0,13,0,2,1,0.0,0.0,0.1,0,0,1,6,16.7,0,5,0,0,0,Nottingham Forest
Orel Mangala,5.0,be BEL,RM,25-017,55,1,0,0,0,1,1,0,0,23,0,1,1,0.2,0.2,0.0,0,0,15,18,83.3,0,9,0,0,0,Nottingham Forest
Jonjo Shelvey,6.0,eng ENG,"DM,RM",31-036,35,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.0,3,0,15,21,71.4,3,8,0,0,0,Nottingham Forest
Harry Toffolo,15.0,eng ENG,LB,27-228,90,0,0,0,0,1,0,0,0,56,3,1,5,0.0,0.0,0.0,1,0,18,41,43.9,3,10,0,0,0,Nottingham Forest
Moussa Niakhate,19.0,sn SEN,CB,27-027,90,0,0,0,0,0,0,0,0,43,1,0,1,0.0,0.0,0.0,2,0,21,33,63.6,1,16,1,0,0,Nottingham Forest
Felipe,38.0,br BRA,CB,33-323,90,0,0,0,0,2,0,1,0,73,5,1,3,0.1,0.1,0.0,1,0,36,50,72.0,2,41,0,3,2,Nottingham Forest
Neco Williams,7.0,wls WAL,RB,21-356,90,0,0,0,0,1,0,1,0,51,6,1,2,0.1,0.1,0.0,1,0,22,40,55.0,1,19,0,1,1,Nottingham Forest
Keylor Navas,12.0,cr CRC,GK,36-110,90,0,0,0,0,0,0,0,0,26,0,1,0,0.0,0.0,0.0,0,0,20,25,80.0,1,13,0,0,0,Nottingham Forest
16 Players,,,,,990,1,1,0,0,13,1,4,0,491,18,8,27,0.8,0.8,0.4,19,2,218,344,63.4,22,196,7,21,10,Nottingham Forest
