Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Gabriel Jesus,9.0,br BRA,FW,25-181,79,1,0,0,0,4,3,0,0,39,2,0,1,1.4,1.4,0.1,1,0,18,21,85.7,1,30,3,4,1,Arsenal
Eddie Nketiah,14.0,eng ENG,FW,23-124,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,9,1,1,0,Arsenal
Gabriel Martinelli,11.0,br BRA,LW,21-105,90,0,1,0,0,3,1,1,0,62,2,0,1,0.1,0.1,0.2,4,0,37,48,77.1,7,44,5,7,4,Arsenal
Bukayo Saka,7.0,eng ENG,RW,21-026,90,0,0,0,0,3,1,0,0,51,1,0,1,0.3,0.3,0.3,9,2,33,41,80.5,2,40,4,3,1,Arsenal
Granit Xhaka,34.0,ch SUI,LM,30-004,90,1,0,0,0,3,1,0,0,56,0,0,0,0.3,0.3,0.1,6,1,41,49,83.7,8,44,1,0,0,Arsenal
Thomas Partey,5.0,gh GHA,CM,29-110,72,1,0,0,0,2,1,0,0,65,1,3,0,0.1,0.1,0.2,6,1,54,57,94.7,11,41,0,1,1,Arsenal
Albert Sambi Lokonga,23.0,be BEL,LM,22-344,18,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,26,26,100.0,1,19,0,0,0,Arsenal
Martin Ødegaard,8.0,no NOR,RM,23-288,79,0,0,0,0,3,1,0,0,47,0,1,0,0.1,0.1,0.0,4,0,33,42,78.6,8,32,1,1,1,Arsenal
Fabio Vieira,21.0,pt POR,RW,22-124,11,0,0,0,0,1,0,0,0,13,0,1,0,0.1,0.1,0.0,1,0,8,9,88.9,1,9,1,0,0,Arsenal
Oleksandr Zinchenko,35.0,ua UKR,LB,25-290,72,0,0,0,0,1,0,0,0,68,1,0,0,0.0,0.0,0.0,2,0,56,62,90.3,15,43,4,1,1,Arsenal
Kieran Tierney,3.0,sct SCO,LB,25-118,18,0,0,0,0,1,1,0,0,30,0,0,0,0.0,0.0,0.0,0,0,27,29,93.1,3,25,1,0,0,Arsenal
Gabriel Magalhães,6.0,br BRA,CB,24-286,90,0,0,0,0,0,0,0,0,71,1,1,1,0.0,0.0,0.0,0,0,56,61,91.8,5,49,1,0,0,Arsenal
William Saliba,12.0,fr FRA,CB,21-191,90,0,0,0,0,0,0,1,0,76,3,0,0,0.0,0.0,0.0,1,0,67,70,95.7,7,52,0,1,1,Arsenal
Ben White,4.0,eng ENG,RB,24-358,88,0,1,0,0,1,0,0,0,77,3,0,0,0.0,0.0,0.2,4,1,61,70,87.1,8,48,1,0,0,Arsenal
Takehiro Tomiyasu,18.0,jp JPN,RB,23-330,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Arsenal
Aaron Ramsdale,1.0,eng ENG,GK,24-140,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,16,21,76.2,1,16,0,0,0,Arsenal
16 Players,,,,,990,3,2,0,0,22,9,2,0,715,14,6,4,2.5,2.5,1.2,39,5,539,613,87.9,78,504,23,19,10,Arsenal
