Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Darwin Núñez,27.0,uy URU,FW,23-117,56,1,0,0,0,6,3,0,0,29,0,0,1,0.5,0.5,0.0,2,0,12,14,85.7,0,14,1,0,0,Liverpool
Harvey Elliott,19.0,eng ENG,"RM,RW",19-198,34,0,0,0,0,1,0,0,0,16,0,0,2,0.0,0.0,0.0,1,0,9,10,90.0,0,9,1,0,0,Liverpool
Roberto Firmino,9.0,br BRA,FW,31-017,80,0,0,0,0,5,2,0,0,44,1,0,0,0.7,0.7,0.1,5,0,28,35,80.0,6,24,2,1,1,Liverpool
James Milner,7.0,eng ENG,LM,36-288,10,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,3,0,7,7,100.0,1,7,1,2,2,Liverpool
Fabio Carvalho,28.0,pt POR,LM,20-050,56,0,0,0,0,0,0,0,0,35,2,1,0,0.0,0.0,0.1,1,0,25,28,89.3,1,21,2,1,1,Liverpool
Curtis Jones,17.0,eng ENG,"LM,LW",21-262,34,0,0,0,0,1,0,0,0,24,3,0,0,0.1,0.1,0.0,0,0,15,18,83.3,1,15,0,0,0,Liverpool
Thiago Alcántara,6.0,es ESP,CM,31-191,56,0,0,0,0,1,0,0,0,77,1,2,0,0.0,0.0,0.1,5,1,67,73,91.8,15,53,4,0,0,Liverpool
Fabinho,3.0,br BRA,CM,28-361,34,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,16,21,76.2,2,12,0,0,0,Liverpool
Jordan Henderson,14.0,eng ENG,"CM,RM",32-124,90,0,0,0,0,2,0,0,0,105,3,1,0,0.1,0.1,0.1,6,0,80,96,83.3,10,64,6,1,1,Liverpool
Mohamed Salah,11.0,eg EGY,"RM,FW",30-126,90,0,0,0,0,6,2,0,0,46,0,0,1,0.4,0.4,0.0,4,0,27,30,90.0,4,35,2,5,1,Liverpool
Kostas Tsimikas,21.0,gr GRE,LB,26-160,80,0,1,0,0,0,0,0,0,64,1,0,1,0.0,0.0,0.1,1,1,41,57,71.9,1,29,1,1,0,Liverpool
Andrew Robertson,26.0,sct SCO,LB,28-222,10,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,1,0,11,12,91.7,1,6,1,1,0,Liverpool
Virgil van Dijk,4.0,nl NED,CB,31-103,90,0,0,0,0,0,0,0,0,83,0,0,1,0.0,0.0,0.0,0,0,73,77,94.8,3,51,2,0,0,Liverpool
Joe Gomez,2.0,eng ENG,CB,25-149,90,0,0,0,0,0,0,0,0,56,1,1,0,0.0,0.0,0.0,0,0,41,49,83.7,1,31,0,0,0,Liverpool
Trent Alexander-Arnold,66.0,eng ENG,RB,24-012,90,0,0,0,0,0,0,0,0,80,0,2,1,0.0,0.0,0.4,5,0,55,76,72.4,6,38,0,0,0,Liverpool
Alisson,1.0,br BRA,GK,30-017,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,17,0,0,0,Liverpool
16 Players,,,,,990,1,1,0,0,22,7,0,0,749,13,8,8,1.8,1.8,1.0,34,2,536,639,83.9,52,426,23,12,6,Liverpool
