Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Taiwo Awoniyi,9.0,ng NGA,FW,26-050,80,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.1,2,0,7,12,58.3,0,12,1,0,0,Nottingham Forest
Chris Wood,11.0,nz NZL,FW,31-298,10,0,0,0,0,1,0,0,0,5,0,0,0,0.2,0.2,0.0,0,0,1,3,33.3,0,3,0,0,0,Nottingham Forest
Callum Hudson-Odoi,14.0,eng ENG,LW,22-328,59,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.1,3,0,12,19,63.2,1,15,5,3,2,Nottingham Forest
Harry Toffolo,15.0,eng ENG,LB,28-043,31,0,1,0,0,0,0,0,0,11,0,0,3,0.0,0.0,0.0,1,1,4,6,66.7,0,1,0,0,0,Nottingham Forest
Anthony Elanga,21.0,se SWE,RW,21-157,59,0,0,0,0,1,0,0,0,34,1,0,0,0.1,0.1,0.0,0,0,21,24,87.5,0,20,2,4,2,Nottingham Forest
Morgan Gibbs-White,10.0,eng ENG,"LM,AM",23-247,31,0,0,0,0,0,0,0,0,19,0,0,2,0.0,0.0,0.0,3,1,11,15,73.3,2,6,0,0,0,Nottingham Forest
Nicolás Domínguez,16.0,ar ARG,LM,25-095,79,1,0,0,0,1,1,0,0,55,6,0,2,0.0,0.0,0.0,0,0,34,42,81.0,5,24,1,0,0,Nottingham Forest
Divock Origi,27.0,be BEL,AM,28-166,11,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.2,1,0,1,1,100.0,0,2,0,0,0,Nottingham Forest
Orel Mangala,5.0,be BEL,"CM,DM",25-197,90,0,0,0,0,0,0,0,0,57,1,3,0,0.0,0.0,0.0,0,0,47,48,97.9,2,34,0,2,2,Nottingham Forest
Ibrahim Sangaré,6.0,ci CIV,RM,25-303,76,0,0,0,0,1,0,1,0,40,1,1,3,0.0,0.0,0.0,0,0,25,30,83.3,4,22,1,3,2,Nottingham Forest
Cheikhou Kouyaté,8.0,sn SEN,RM,33-284,14,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,2,10,20.0,0,4,0,0,0,Nottingham Forest
Moussa Niakhate,19.0,sn SEN,LB,27-207,55,0,0,0,0,0,0,2,1,38,3,0,0,0.0,0.0,0.0,0,0,22,33,66.7,0,12,1,0,0,Nottingham Forest
Murillo,40.0,br BRA,CB,21-089,90,0,0,0,0,1,0,0,0,63,1,1,2,0.1,0.1,0.0,0,0,39,48,81.3,1,31,1,1,1,Nottingham Forest
Willy Boly,30.0,ci CIV,CB,32-240,90,0,0,0,0,1,0,0,0,77,1,0,5,0.0,0.0,0.0,0,0,45,62,72.6,2,41,0,0,0,Nottingham Forest
Serge Aurier,24.0,ci CIV,RB,30-281,90,0,0,0,0,0,0,0,0,59,3,1,3,0.0,0.0,0.0,0,0,41,49,83.7,2,24,1,1,0,Nottingham Forest
Matt Turner,1.0,us USA,GK,29-099,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,0,25,41,61.0,0,23,0,0,0,Nottingham Forest
16 Players,,,,,955,1,1,0,0,6,1,3,1,567,17,6,21,0.5,0.5,0.5,11,2,337,443,76.1,19,274,13,14,9,Nottingham Forest
