Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,26-311,77,0,1,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.2,3,2,15,20,75.0,2,17,2,0,0,Aston Villa
Boubacar Kamara,44.0,fr FRA,"CM,FW",22-348,13,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,12,14,85.7,0,10,0,0,0,Aston Villa
Leon Bailey,31.0,jm JAM,FW,25-089,69,1,0,0,0,2,2,1,0,23,1,1,1,0.3,0.3,0.1,2,0,12,15,80.0,0,15,3,7,3,Aston Villa
John McGinn,7.0,sct SCO,"LW,FW",28-019,21,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,8,0,1,0,Aston Villa
Emi Buendía,10.0,ar ARG,"AM,LM",25-316,78,0,0,0,0,1,0,0,0,45,2,2,1,0.1,0.1,0.0,1,1,27,36,75.0,5,27,2,0,0,Aston Villa
Danny Ings,9.0,eng ENG,FW,30-106,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,1,1,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,"AM,RM,RW",21-162,90,1,1,0,0,1,1,0,0,50,6,1,1,0.2,0.2,0.3,2,2,24,33,72.7,3,34,5,2,0,Aston Villa
Douglas Luiz,6.0,br BRA,"CM,DM",24-181,90,0,0,0,0,0,0,0,0,56,2,4,2,0.0,0.0,0.1,1,0,38,45,84.4,3,33,1,1,1,Aston Villa
Leander Dendoncker,32.0,be BEL,"DM,CM",27-205,89,0,0,0,0,0,0,0,0,28,3,1,3,0.0,0.0,0.0,0,0,18,18,100.0,0,11,0,0,0,Aston Villa
Morgan Sanson,8.0,fr FRA,CM,28-080,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Aston Villa
Lucas Digne,27.0,fr FRA,LB,29-109,78,1,0,0,0,1,1,0,0,47,0,0,2,0.0,0.0,0.0,1,0,35,43,81.4,2,28,2,0,0,Aston Villa
Ashley Young,18.0,eng ENG,LB,37-120,12,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,7,1,0,0,Aston Villa
Tyrone Mings,5.0,eng ENG,CB,29-238,90,0,0,0,0,0,0,1,0,61,0,2,2,0.0,0.0,0.0,0,0,44,49,89.8,0,39,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,CB,25-014,90,0,0,0,0,0,0,0,0,51,0,1,0,0.0,0.0,0.0,0,0,36,38,94.7,3,32,0,2,0,Aston Villa
Matty Cash,2.0,pl POL,RB,25-091,90,0,0,0,0,1,0,0,0,53,1,3,1,0.0,0.0,0.0,1,0,35,42,83.3,2,27,3,1,0,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,30-065,90,0,0,0,0,0,0,1,0,49,0,0,0,0.0,0.0,0.0,0,0,36,46,78.3,0,35,0,0,0,Aston Villa
16 Players,,,,,990,3,2,0,0,6,4,3,0,542,16,15,14,0.6,0.6,0.6,11,5,351,425,82.6,21,329,20,15,4,Aston Villa
