Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Wilfried Zaha,11.0,ci CIV,"LW,FW",30-046,90,0,0,0,0,0,0,0,0,20,1,0,2,0.0,0.0,0.0,2,0,9,11,81.8,2,13,1,1,0,Crystal Palace
Eberechi Eze,10.0,eng ENG,"LW,DM",24-180,59,0,0,0,0,0,0,0,0,37,0,1,1,0.0,0.0,0.1,1,0,23,30,76.7,4,21,0,2,1,Crystal Palace
Chris Richards,26.0,us USA,DM,22-273,31,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,4,8,50.0,0,5,0,0,0,Crystal Palace
Jordan Ayew,9.0,gh GHA,"FW,RW",31-106,90,0,0,0,0,1,0,0,0,53,3,1,3,0.1,0.1,0.0,0,0,17,27,63.0,1,22,0,4,0,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,"LB,LM",30-003,82,0,0,0,0,0,0,0,0,50,1,1,2,0.0,0.0,0.0,0,0,26,40,65.0,0,21,1,0,0,Crystal Palace
Jaïro Riedewald,44.0,nl NED,LB,26-108,8,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Crystal Palace
Cheick Doucouré,28.0,ml MLI,"DM,CM",22-352,83,0,0,0,0,0,0,0,0,45,4,2,2,0.0,0.0,0.1,1,0,30,34,88.2,2,17,0,1,1,Crystal Palace
Luka Milivojević,4.0,rs SRB,DM,31-263,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.1,1,0,2,2,100.0,0,0,0,0,0,Crystal Palace
Michael Olise,7.0,fr FRA,"RW,RM",21-014,83,0,0,0,0,2,0,0,0,40,2,0,1,0.2,0.2,0.0,0,0,24,30,80.0,3,22,2,1,0,Crystal Palace
Will Hughes,19.0,eng ENG,RW,27-253,7,0,0,0,0,0,0,0,0,4,1,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Crystal Palace
Tyrick Mitchell,3.0,eng ENG,LB,23-116,33,0,0,0,0,0,0,0,1,24,1,1,1,0.0,0.0,0.0,0,0,11,17,64.7,1,10,0,0,0,Crystal Palace
James Tomkins,5.0,eng ENG,CB,33-272,56,0,0,0,0,0,0,2,1,69,0,2,0,0.0,0.0,0.0,0,0,58,65,89.2,0,41,0,0,0,Crystal Palace
Joachim Andersen,16.0,dk DEN,CB,26-209,90,0,0,0,0,1,0,0,0,67,2,1,2,0.1,0.1,0.0,0,0,36,50,72.0,2,32,0,0,0,Crystal Palace
Nathaniel Clyne,17.0,eng ENG,RB,31-265,66,0,0,0,0,0,0,0,0,33,0,1,0,0.0,0.0,0.0,0,0,16,24,66.7,1,11,0,0,0,Crystal Palace
Joel Ward,2.0,eng ENG,RB,33-058,24,0,0,0,0,0,0,0,0,13,0,1,3,0.0,0.0,0.0,0,0,6,9,66.7,0,6,0,0,0,Crystal Palace
Vicente Guaita,13.0,es ESP,GK,35-350,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,30,44,68.2,0,29,0,0,0,Crystal Palace
16 Players,,,,,899,0,0,0,0,4,0,2,2,520,15,11,19,0.4,0.4,0.3,5,0,293,393,74.6,16,250,4,9,2,Crystal Palace
