Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Luis Díaz,7.0,co COL,"FW,LW",27-323,89,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,4,2,15,18,83.3,6,21,2,4,1,Liverpool
Harvey Elliott,19.0,eng ENG,LW,21-241,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Liverpool
Cody Gakpo,18.0,nl NED,LW,25-208,72,1,0,0,0,4,2,0,0,28,1,0,0,1.4,1.4,0.0,2,0,13,17,76.5,2,16,3,2,2,Liverpool
Darwin Núñez,9.0,uy URU,FW,25-160,18,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,1,0,0,1,0.0,0,2,0,0,0,Liverpool
Mohamed Salah,11.0,eg EGY,RW,32-169,83,1,1,1,1,2,0,0,0,24,0,1,0,1.4,0.6,0.9,4,1,12,16,75.0,1,20,6,3,1,Liverpool
Curtis Jones,17.0,eng ENG,AM,23-306,7,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,2,7,1,0,0,Liverpool
Dominik Szoboszlai,8.0,hu HUN,"AM,RW",24-037,90,0,0,0,0,3,2,0,0,72,1,1,0,0.2,0.2,0.3,4,0,51,63,81.0,5,44,4,1,0,Liverpool
Alexis Mac Allister,10.0,ar ARG,DM,25-343,90,0,0,0,0,0,0,0,0,49,3,0,4,0.0,0.0,0.2,4,0,35,41,85.4,4,18,1,1,1,Liverpool
Ryan Gravenberch,38.0,nl NED,DM,22-199,90,0,0,0,0,0,0,1,0,53,5,1,2,0.0,0.0,0.2,1,0,33,37,89.2,3,26,3,3,0,Liverpool
Andrew Robertson,26.0,sct SCO,LB,30-265,90,0,0,0,0,1,0,0,0,40,3,0,0,0.0,0.0,0.2,3,0,28,32,87.5,4,18,3,1,0,Liverpool
Virgil van Dijk,4.0,nl NED,CB,33-146,90,0,0,0,0,3,1,0,0,57,1,3,2,0.4,0.4,0.0,0,0,37,40,92.5,2,29,1,1,0,Liverpool
Joe Gomez,2.0,eng ENG,CB,27-192,90,0,0,0,0,0,0,0,0,79,0,0,1,0.0,0.0,0.0,0,0,67,76,88.2,3,53,0,0,0,Liverpool
Trent Alexander-Arnold,66.0,eng ENG,RB,26-055,72,0,0,0,0,3,0,0,0,65,4,0,1,0.1,0.1,0.3,2,1,37,53,69.8,0,29,0,0,0,Liverpool
Jarell Quansah,78.0,eng ENG,RB,21-307,18,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,5,1,0,0,Liverpool
Caoimhín Kelleher,62.0,ie IRL,GK,26-008,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,1,0,30,45,66.7,0,39,0,0,0,Liverpool
15 Players,,,,,990,2,1,1,1,17,6,1,0,571,22,6,11,3.6,2.8,2.1,26,4,376,459,81.9,32,327,25,16,5,Liverpool
