Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Danny Ings,18.0,eng ENG,FW,30-217,83,2,0,0,0,3,2,0,0,29,0,0,1,1.7,1.7,0.0,1,1,12,18,66.7,2,16,2,1,0,West Ham United
Michail Antonio,9.0,jm JAM,FW,32-334,7,1,0,0,0,1,1,0,0,6,0,0,0,0.3,0.3,0.0,0,0,0,4,0.0,0,2,0,1,0,West Ham United
Saïd Benrahma,22.0,dz ALG,LW,27-199,82,0,2,0,0,1,1,0,0,53,3,0,0,0.0,0.0,0.9,5,3,24,38,63.2,0,41,8,8,3,West Ham United
Pablo Fornals,8.0,es ESP,LW,27-003,8,0,1,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.3,3,2,9,9,100.0,1,9,0,2,1,West Ham United
Jarrod Bowen,20.0,eng ENG,RW,26-067,90,0,1,0,0,6,0,0,0,46,0,3,3,0.3,0.3,0.6,6,1,20,31,64.5,4,26,7,5,4,West Ham United
Lucas Paquetá,11.0,br BRA,"LM,RM",25-182,82,0,0,0,0,3,0,0,0,69,3,0,4,0.1,0.1,0.0,6,0,44,57,77.2,9,42,2,1,1,West Ham United
Manuel Lanzini,10.0,ar ARG,RM,30-010,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,1,1,West Ham United
Declan Rice,41.0,eng ENG,CM,24-042,90,1,0,0,0,1,1,0,0,71,0,0,1,0.0,0.0,0.2,7,1,60,65,92.3,8,44,5,1,1,West Ham United
Tomáš Souček,28.0,cz CZE,"LM,RM",27-363,90,0,0,0,0,1,0,0,0,40,2,1,1,0.1,0.1,0.1,1,0,21,28,75.0,4,13,0,3,0,West Ham United
Ben Johnson,2.0,eng ENG,"RB,LB",23-032,90,0,0,0,0,1,0,0,0,74,2,0,1,0.0,0.0,0.0,0,0,49,65,75.4,10,39,3,1,0,West Ham United
Angelo Ogbonna,21.0,it ITA,CB,34-278,90,0,0,0,0,1,0,0,0,34,2,1,0,0.0,0.0,0.0,0,0,18,29,62.1,1,15,0,0,0,West Ham United
Nayef Aguerd,27.0,ma MAR,CB,26-332,90,0,0,0,0,0,0,0,0,43,0,2,0,0.0,0.0,0.0,1,0,29,36,80.6,2,29,0,0,0,West Ham United
Vladimír Coufal,5.0,cz CZE,RB,30-187,45,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.4,3,0,19,33,57.6,3,20,1,0,0,West Ham United
Aaron Cresswell,3.0,eng ENG,LB,33-072,45,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.1,1,0,18,23,78.3,5,15,0,1,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,37-313,68,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,12,66.7,0,6,0,0,0,West Ham United
Alphonse Areola,13.0,fr FRA,GK,29-363,22,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,0,0,0,West Ham United
16 Players,,,,,990,4,4,0,0,18,5,0,0,569,13,7,12,2.7,2.7,2.7,34,8,340,460,73.9,49,324,28,25,11,West Ham United
