Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Harry Kane,10.0,eng ENG,FW,28-213,90,1,1,0,0,2,1,0,0,47,0,0,2,0.1,0.1,0.7,4,1,26,37,70.3,7,30,4,4,2,Tottenham Hotspur
Son Heung-min,7.0,kr KOR,AM,29-233,86,1,0,0,0,4,3,0,0,54,0,2,3,0.7,0.7,0.1,5,0,33,40,82.5,2,34,6,5,4,Tottenham Hotspur
Dane Scarlett,44.0,eng ENG,AM,17-339,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,1,1,Tottenham Hotspur
Dejan Kulusevski,21.0,se SWE,AM,21-307,77,1,0,0,0,4,2,0,0,45,1,0,0,0.4,0.4,0.0,4,2,31,35,88.6,0,31,3,5,4,Tottenham Hotspur
Steven Bergwijn,23.0,nl NED,AM,24-141,13,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,2,5,2,1,0,Tottenham Hotspur
Harry Winks,8.0,eng ENG,CM,26-024,90,0,0,0,0,0,0,0,0,66,1,1,2,0.0,0.0,0.0,3,1,50,55,90.9,4,40,2,1,0,Tottenham Hotspur
Pierre Højbjerg,5.0,dk DEN,CM,26-205,90,0,1,0,0,0,0,0,0,71,3,0,2,0.0,0.0,0.1,3,2,58,65,89.2,4,37,0,1,1,Tottenham Hotspur
Ryan Sessegnon,19.0,eng ENG,WB,21-284,77,0,1,0,0,2,1,1,0,26,1,2,0,0.0,0.0,0.4,2,1,12,16,75.0,3,18,2,1,0,Tottenham Hotspur
Emerson,12.0,br BRA,WB,23-043,13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,2,0,Tottenham Hotspur
Matt Doherty,2.0,ie IRL,WB,30-041,90,1,1,0,0,2,2,0,0,67,0,2,2,0.6,0.6,0.2,5,1,46,53,86.8,4,30,5,1,1,Tottenham Hotspur
Ben Davies,33.0,wls WAL,CB,28-308,90,0,0,0,0,1,1,1,0,45,2,3,3,0.1,0.1,0.0,0,0,27,33,81.8,1,23,0,0,0,Tottenham Hotspur
Eric Dier,15.0,eng ENG,CB,28-042,90,0,0,0,0,0,0,0,0,71,0,1,0,0.0,0.0,0.0,1,0,57,64,89.1,0,49,0,0,0,Tottenham Hotspur
Cristian Romero,4.0,ar ARG,CB,23-305,90,0,0,0,0,0,0,0,0,76,2,1,0,0.0,0.0,0.1,2,0,60,65,92.3,1,43,2,0,0,Tottenham Hotspur
Hugo Lloris,1.0,fr FRA,GK,35-062,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,28,31,90.3,0,15,0,0,0,Tottenham Hotspur
14 Players,,,,,990,4,4,0,0,15,10,2,0,614,10,12,14,2.0,2.0,1.7,29,8,436,503,86.7,28,359,26,22,13,Tottenham Hotspur
