Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Patrick Bamford,9.0,eng ENG,FW,28-335,83,0,0,0,0,2,2,0,0,25,0,0,0,0.3,0.3,0.0,0,0,11,15,73.3,1,13,1,2,1,Leeds United
Joe Gelhardt,30.0,eng ENG,FW,20-094,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Leeds United
Jack Harrison,11.0,eng ENG,LW,25-259,90,0,1,0,0,0,0,1,0,44,2,1,1,0.0,0.0,0.6,9,0,20,32,62.5,2,33,5,4,2,Leeds United
Brenden Aaronson,7.0,us USA,RW,21-288,83,0,0,0,0,1,0,0,0,36,2,0,2,0.0,0.0,0.0,1,0,15,27,55.6,5,22,2,0,0,Leeds United
Crysencio Summerville,10.0,nl NED,RW,20-280,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,1,0,0,Leeds United
Rodrigo,19.0,es ESP,AM,31-153,64,1,0,0,0,3,1,0,0,31,0,2,1,0.1,0.1,0.0,0,0,11,20,55.0,3,20,1,0,0,Leeds United
Mateusz Klich,43.0,pl POL,AM,32-054,26,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,2,12,1,0,0,Leeds United
Tyler Adams,12.0,us USA,DM,23-173,90,0,0,0,0,1,0,1,0,49,4,1,1,0.0,0.0,0.0,1,0,29,34,85.3,3,22,0,0,0,Leeds United
Marc Roca,8.0,es ESP,DM,25-253,72,0,0,0,0,1,1,0,0,41,1,2,1,0.0,0.0,0.0,1,0,30,36,83.3,5,26,2,1,1,Leeds United
Sam Greenwood,42.0,eng ENG,DM,20-192,18,0,0,0,0,2,0,0,0,12,1,0,1,0.1,0.1,0.0,1,0,5,7,71.4,0,4,1,0,0,Leeds United
Pascal Struijk,21.0,nl NED,LB,22-360,90,0,0,0,0,1,0,0,0,70,5,3,3,0.1,0.1,0.0,1,0,39,53,73.6,4,37,1,4,1,Leeds United
Diego Llorente,14.0,es ESP,CB,28-355,90,0,0,0,0,0,0,0,0,57,2,2,1,0.0,0.0,0.0,0,0,38,47,80.9,3,33,0,2,2,Leeds United
Robin Koch,5.0,de GER,CB,26-020,90,0,0,0,0,1,0,0,0,52,3,1,2,0.1,0.1,0.0,1,0,34,39,87.2,2,24,0,0,0,Leeds United
Rasmus Kristensen,25.0,dk DEN,RB,25-026,90,0,0,0,0,0,0,0,0,50,1,2,0,0.0,0.0,0.0,3,0,31,45,68.9,7,24,0,1,0,Leeds United
Illan Meslier,1.0,fr FRA,GK,22-157,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,21,29,72.4,0,15,0,0,0,Leeds United
15 Players,,,,,990,1,1,0,0,12,4,2,0,515,21,14,13,0.8,0.8,0.7,18,0,295,399,73.9,37,288,15,14,7,Leeds United
