Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,27-331,89,1,0,0,0,3,1,1,0,21,0,1,0,0.7,0.7,0.0,2,1,11,13,84.6,1,14,1,0,0,Aston Villa
Jáder Durán,24.0,co COL,FW,19-348,1,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,5,2,0,0,Aston Villa
Moussa Diaby,19.0,fr FRA,FW,24-142,45,0,0,0,0,1,0,0,0,18,0,1,0,0.1,0.1,0.1,1,0,10,10,100.0,0,10,1,3,1,Aston Villa
Youri Tielemans,8.0,be BEL,FW,26-203,45,0,1,0,0,0,0,0,0,38,2,1,0,0.0,0.0,0.2,2,1,27,31,87.1,5,20,0,2,0,Aston Villa
John McGinn,7.0,sct SCO,LM,29-039,89,0,0,0,0,1,0,1,0,38,2,2,1,0.1,0.1,0.6,6,0,25,28,89.3,7,27,3,3,2,Aston Villa
Jacob Ramsey,41.0,eng ENG,LM,22-182,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Aston Villa
Douglas Luiz,6.0,br BRA,CM,25-201,90,0,1,0,0,0,0,0,0,60,3,2,0,0.0,0.0,0.2,6,1,50,56,89.3,5,34,3,1,1,Aston Villa
Boubacar Kamara,44.0,fr FRA,CM,24-003,90,0,0,0,0,1,1,1,0,53,2,1,1,0.0,0.0,0.0,4,0,43,46,93.5,4,31,0,2,1,Aston Villa
Matty Cash,2.0,pl POL,RM,26-111,45,0,0,0,0,1,0,1,0,19,1,1,0,0.1,0.1,0.0,1,1,9,14,64.3,1,11,0,0,0,Aston Villa
Leon Bailey,31.0,jm JAM,RM,26-109,45,0,0,0,0,3,1,0,0,23,0,0,0,0.2,0.2,0.0,3,0,14,16,87.5,0,16,2,4,3,Aston Villa
Lucas Digne,12.0,fr FRA,LB,30-129,90,0,0,0,0,1,1,0,0,52,3,1,1,0.1,0.1,0.4,3,0,30,43,69.8,2,30,2,2,1,Aston Villa
Pau Torres,14.0,es ESP,CB,26-314,90,1,0,0,0,2,1,0,0,53,1,1,1,0.4,0.4,0.0,1,0,37,44,84.1,1,37,1,3,2,Aston Villa
Diego Carlos,3.0,br BRA,CB,30-256,90,0,0,0,0,1,0,0,0,43,1,1,1,0.1,0.1,0.0,0,0,30,33,90.9,1,19,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,RB,26-034,90,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,0.0,0,0,34,39,87.2,3,27,0,0,0,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,31-085,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,28,38,73.7,0,18,0,0,0,Aston Villa
15 Players,,,,,990,2,2,0,0,15,5,4,0,521,18,12,5,1.8,1.8,1.6,29,4,349,415,84.1,30,300,15,20,11,Aston Villa
