Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Erling Haaland,9.0,no NOR,FW,23-079,90,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.3,2,0,11,16,68.8,1,9,1,1,1,Manchester City
Phil Foden,47.0,eng ENG,"LW,RW",23-133,90,0,0,0,0,0,0,0,0,48,2,0,1,0.0,0.0,0.2,2,0,27,35,77.1,1,29,0,9,4,Manchester City
Julián Álvarez,19.0,ar ARG,RW,23-250,67,0,0,0,0,2,0,0,0,29,0,0,1,0.1,0.1,0.0,1,0,11,18,61.1,3,15,1,0,0,Manchester City
Jeremy Doku,11.0,be BEL,LW,21-134,23,0,0,0,0,0,0,0,0,20,4,2,0,0.0,0.0,0.0,0,0,2,4,50.0,0,12,2,7,1,Manchester City
Mateo Kovačić,8.0,hr CRO,LM,29-155,67,0,0,0,0,0,0,1,0,45,3,0,1,0.0,0.0,0.0,0,0,36,37,97.3,0,23,0,0,0,Manchester City
Matheus Nunes,27.0,pt POR,LM,25-042,23,0,0,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.0,0,0,18,20,90.0,1,16,1,1,1,Manchester City
Bernardo Silva,20.0,pt POR,"CM,RM",29-059,90,0,0,0,0,0,0,1,0,72,3,0,2,0.0,0.0,0.0,0,0,63,66,95.5,6,49,2,0,0,Manchester City
Rico Lewis,82.0,eng ENG,RM,18-321,67,0,0,0,0,0,0,0,0,34,1,0,0,0.0,0.0,0.0,0,0,29,32,90.6,1,22,1,1,0,Manchester City
John Stones,5.0,eng ENG,CM,29-133,23,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,2,7,0,0,0,Manchester City
Joško Gvardiol,24.0,hr CRO,LB,21-258,90,0,0,0,0,1,0,0,0,62,2,2,3,0.1,0.1,0.0,1,0,34,48,70.8,1,27,1,0,0,Manchester City
Nathan Aké,6.0,nl NED,CB,28-232,90,0,0,0,0,1,0,0,0,72,3,0,1,0.3,0.3,0.0,0,0,60,66,90.9,1,50,0,0,0,Manchester City
Rúben Dias,3.0,pt POR,CB,26-147,90,0,0,0,0,0,0,0,0,92,0,0,0,0.0,0.0,0.0,0,0,78,91,85.7,8,65,1,0,0,Manchester City
Kyle Walker,2.0,eng ENG,RB,33-133,90,0,0,0,0,0,0,0,0,57,2,1,0,0.0,0.0,0.0,0,0,45,52,86.5,3,27,4,1,1,Manchester City
Ederson,31.0,br BRA,GK,30-052,90,0,0,0,0,0,0,1,0,54,0,0,0,0.0,0.0,0.0,1,0,44,53,83.0,0,40,0,0,0,Manchester City
14 Players,,,,,990,0,0,0,0,4,0,3,0,638,22,5,10,0.5,0.5,0.5,7,0,468,549,85.2,28,391,14,20,8,Manchester City
