Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Ollie Watkins,11.0,eng ENG,FW,28-035,90,1,2,0,0,3,2,0,0,26,0,0,1,0.6,0.6,0.3,6,4,15,21,71.4,1,15,1,1,0,Aston Villa
John McGinn,7.0,sct SCO,"LW,DM",29-108,70,1,0,0,0,2,1,0,0,28,0,0,0,1.0,1.0,0.0,1,0,21,25,84.0,3,14,0,0,0,Aston Villa
Tim Iroegbunam,47.0,eng ENG,DM,20-218,20,0,0,0,0,0,0,0,0,10,0,1,2,0.0,0.0,0.0,0,0,6,7,85.7,0,8,1,0,0,Aston Villa
Leon Bailey,31.0,jm JAM,RW,26-178,59,1,0,0,0,2,1,0,0,34,1,1,0,0.1,0.1,0.2,3,0,20,24,83.3,2,20,2,2,2,Aston Villa
Moussa Diaby,19.0,fr FRA,RW,24-211,31,0,0,0,0,1,1,0,0,22,0,0,0,0.2,0.2,0.2,3,0,13,17,76.5,0,15,3,3,2,Aston Villa
Youri Tielemans,8.0,be BEL,AM,26-272,80,1,0,0,0,2,1,0,0,55,0,1,2,0.2,0.2,0.2,3,2,37,46,80.4,4,25,2,1,0,Aston Villa
Morgan Rogers,27.0,eng ENG,AM,21-192,10,0,0,0,0,1,0,0,0,3,0,0,0,0.2,0.2,0.0,0,0,1,2,50.0,0,3,0,1,1,Aston Villa
Douglas Luiz,6.0,br BRA,DM,25-270,45,0,1,0,0,1,1,0,0,35,2,0,0,0.0,0.0,0.6,4,1,30,33,90.9,2,24,0,0,0,Aston Villa
Jacob Ramsey,41.0,eng ENG,LW,22-251,45,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.0,0,0,16,21,76.2,1,20,1,3,2,Aston Villa
Boubacar Kamara,44.0,fr FRA,DM,24-072,90,0,0,0,0,0,0,0,0,81,1,1,2,0.0,0.0,0.0,2,1,58,70,82.9,3,50,0,2,0,Aston Villa
Álex Moreno,15.0,es ESP,LB,30-240,90,1,0,0,0,1,1,0,0,59,2,3,2,0.2,0.2,0.0,1,0,38,49,77.6,2,33,0,2,2,Aston Villa
Clément Lenglet,17.0,fr FRA,CB,28-231,90,0,0,0,0,0,0,0,0,109,0,1,1,0.0,0.0,0.0,0,0,98,105,93.3,2,84,3,1,1,Aston Villa
Diego Carlos,3.0,br BRA,CB,30-325,90,0,0,0,0,0,0,0,0,124,0,0,1,0.0,0.0,0.0,0,0,108,116,93.1,3,101,0,0,0,Aston Villa
Ezri Konsa,4.0,eng ENG,RB,26-103,58,0,0,0,0,1,1,0,0,70,1,0,1,0.1,0.1,0.0,2,0,65,67,97.0,6,49,1,1,1,Aston Villa
Matty Cash,2.0,pl POL,RB,26-180,32,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,28,32,87.5,4,21,2,0,0,Aston Villa
Emiliano Martínez,1.0,ar ARG,GK,31-154,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,18,0,0,0,Aston Villa
16 Players,,,,,990,5,3,0,0,14,9,0,0,750,8,8,13,2.5,2.5,1.5,26,8,584,667,87.6,33,500,16,17,11,Aston Villa
