Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Gabriel Jesus,9.0,br BRA,FW,25-146,88,0,0,0,0,4,1,1,0,52,0,1,2,0.3,0.3,0.2,4,0,24,35,68.6,2,22,1,4,1,Arsenal
Takehiro Tomiyasu,18.0,jp JPN,LB,23-295,2,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0,Arsenal
Gabriel Martinelli,11.0,br BRA,"LW,WB,LM",21-070,90,0,0,0,0,7,2,0,0,63,4,0,3,0.6,0.6,0.4,8,1,29,42,69.0,6,30,3,3,1,Arsenal
Bukayo Saka,7.0,eng ENG,"RW,WB,RM",20-356,90,0,1,0,0,2,1,0,0,62,0,1,3,0.5,0.5,0.2,3,1,39,49,79.6,6,39,6,12,3,Arsenal
Granit Xhaka,34.0,ch SUI,"LM,CM,DM",29-334,90,0,0,0,0,1,0,0,0,67,0,1,1,0.1,0.1,0.2,5,0,47,60,78.3,8,39,2,1,0,Arsenal
Mohamed Elneny,25.0,eg EGY,"CM,DM",30-047,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,0,0,51,52,98.1,2,35,1,0,0,Arsenal
Martin Ødegaard,8.0,no NOR,"RM,AM",23-253,89,1,0,0,0,3,2,0,0,80,3,0,0,0.2,0.2,0.2,9,0,61,73,83.6,17,48,2,5,5,Arsenal
Rob Holding,16.0,eng ENG,CB,26-341,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Arsenal
Kieran Tierney,3.0,sct SCO,LB,25-083,60,0,0,0,0,1,0,0,0,46,0,2,2,0.0,0.0,0.0,1,0,28,39,71.8,4,27,0,0,0,Arsenal
Eddie Nketiah,14.0,eng ENG,"AM,FW",23-089,30,0,0,0,0,3,1,0,0,11,1,0,0,0.4,0.4,0.0,2,0,4,5,80.0,0,9,2,3,3,Arsenal
Gabriel Magalhães,6.0,br BRA,CB,24-251,90,1,0,0,0,1,1,0,0,93,3,1,2,0.7,0.7,0.2,1,0,77,83,92.8,6,59,0,0,0,Arsenal
William Saliba,12.0,fr FRA,CB,21-156,90,0,1,0,0,0,0,0,0,102,1,0,0,0.0,0.0,0.7,1,1,92,98,93.9,6,73,0,0,0,Arsenal
Ben White,4.0,eng ENG,"RB,CB",24-323,90,0,0,0,0,0,0,1,0,78,2,0,4,0.0,0.0,0.0,2,0,61,69,88.4,9,44,0,1,0,Arsenal
Aaron Ramsdale,1.0,eng ENG,GK,24-105,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,21,30,70.0,0,18,0,0,0,Arsenal
14 Players,,,,,990,2,2,0,0,22,8,2,0,745,15,7,17,2.7,2.7,2.1,36,3,534,637,83.8,66,445,17,29,13,Arsenal
