Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Michail Antonio,9.0,jm JAM,FW,31-251,90,0,1,0,0,2,0,0,0,36,1,0,0,0.0,0.0,0.8,6,2,19,29,65.5,1,26,4,3,3,West Ham United
Manuel Lanzini,10.0,ar ARG,AM,28-292,84,1,0,1,1,0,0,0,0,43,1,0,0,0.8,0.0,0.0,0,0,31,37,83.8,3,22,0,0,0,West Ham United
Saïd Benrahma,22.0,dz ALG,AM,26-116,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,3,0,0,0,West Ham United
Jarrod Bowen,20.0,eng ENG,"AM,RW",24-349,90,1,0,0,0,4,1,0,0,37,0,0,1,0.8,0.8,0.0,2,1,17,26,65.4,0,25,2,2,1,West Ham United
Declan Rice,41.0,eng ENG,"CM,DM,CB",22-324,90,0,0,0,0,0,0,0,0,52,0,3,2,0.0,0.0,0.0,0,0,31,40,77.5,3,27,0,1,1,West Ham United
Tomáš Souček,28.0,cz CZE,"CM,DM",26-280,90,0,0,0,0,1,0,0,0,32,2,0,1,0.1,0.1,0.1,1,0,16,22,72.7,3,15,1,0,0,West Ham United
Ben Johnson,31.0,eng ENG,WB,21-314,44,0,0,0,0,0,0,0,0,26,0,2,0,0.0,0.0,0.0,0,0,11,21,52.4,1,8,1,0,0,West Ham United
Arthur Masuaku,26.0,cd COD,"WB,LB",28-027,46,1,0,0,0,1,1,0,0,36,5,0,1,0.0,0.0,0.0,1,1,19,27,70.4,1,13,1,1,1,West Ham United
Vladimír Coufal,5.0,cz CZE,"WB,RB",29-104,90,0,1,0,0,1,0,1,0,45,0,0,2,0.0,0.0,0.1,1,1,24,34,70.6,2,23,0,0,0,West Ham United
Issa Diop,23.0,fr FRA,CB,24-329,90,0,0,0,0,0,0,0,0,41,1,0,2,0.0,0.0,0.0,1,0,33,35,94.3,0,23,0,0,0,West Ham United
Kurt Zouma,4.0,fr FRA,CB,27-038,70,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,1,0,23,28,82.1,2,21,0,0,0,West Ham United
Pablo Fornals,8.0,es ESP,"LW,CM",25-285,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,7,0,0,0,West Ham United
Craig Dawson,15.0,eng ENG,CB,31-212,90,0,0,0,0,1,1,0,0,45,2,0,3,0.1,0.1,0.0,0,0,25,35,71.4,1,30,0,0,0,West Ham United
Łukasz Fabiański,1.0,pl POL,GK,36-230,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,19,32,59.4,0,28,0,0,0,West Ham United
14 Players,,,,,990,3,2,1,1,10,3,1,0,479,13,5,13,1.8,1.0,1.0,15,5,276,378,73.0,18,271,9,7,6,West Ham United
