Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Dominic Solanke,9.0,eng ENG,FW,26-227,90,0,0,0,0,4,1,0,0,30,0,1,1,0.3,0.3,0.3,4,0,7,10,70.0,3,18,2,4,2,Bournemouth
Enes Ünal,26.0,tr TUR,FW,26-354,66,1,1,0,0,4,2,0,0,25,1,0,0,0.6,0.6,0.6,2,1,7,10,70.0,1,13,1,4,0,Bournemouth
Ryan Christie,10.0,sct SCO,DM,29-066,24,0,1,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.1,3,1,8,10,80.0,3,6,0,0,0,Bournemouth
Justin Kluivert,19.0,nl NED,"LM,LW",24-359,89,1,0,0,0,3,2,1,0,34,0,0,2,0.4,0.4,0.0,5,1,13,23,56.5,1,18,5,5,1,Bournemouth
Dominic Sadi,49.0,eng ENG,LW,20-239,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Bournemouth
Lewis Cook,4.0,eng ENG,"CM,DM",27-085,90,0,0,0,0,0,0,0,0,47,4,4,1,0.0,0.0,0.3,2,0,21,35,60.0,3,18,1,1,0,Bournemouth
Alex Scott,14.0,eng ENG,"CM,AM",20-251,76,0,0,0,0,1,0,0,0,27,1,0,2,0.1,0.1,0.2,3,0,17,21,81.0,4,17,1,1,1,Bournemouth
Max Aarons,37.0,eng ENG,AM,24-115,14,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,1,8,10,80.0,0,4,1,0,0,Bournemouth
Antoine Semenyo,24.0,gh GHA,"RM,RW",24-112,90,0,0,0,0,1,0,0,0,38,0,0,1,0.0,0.0,0.1,2,0,14,25,56.0,3,22,4,8,2,Bournemouth
Dango Ouattara,11.0,bf BFA,LB,22-077,90,0,1,0,0,0,0,0,0,37,2,5,3,0.0,0.0,0.3,4,1,16,23,69.6,2,9,0,2,1,Bournemouth
Lloyd Kelly,5.0,eng ENG,CB,25-205,90,0,0,0,0,0,0,0,0,35,0,1,1,0.0,0.0,0.0,1,0,23,26,88.5,0,17,0,0,0,Bournemouth
Marcos Senesi,25.0,ar ARG,CB,26-354,89,1,0,0,0,1,1,1,0,42,0,1,1,0.6,0.6,0.0,0,0,24,29,82.8,2,18,0,2,0,Bournemouth
James Hill,23.0,eng ENG,CB,22-109,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,RB,32-365,90,0,0,0,0,1,0,0,0,38,1,2,1,0.0,0.0,0.0,0,0,20,31,64.5,0,12,0,0,0,Bournemouth
Mark Travers,42.0,ie IRL,GK,24-346,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,24,38,63.2,0,19,0,0,0,Bournemouth
15 Players,,,,,990,3,3,0,0,15,6,2,0,417,9,14,14,2.1,2.1,1.9,27,5,202,292,69.2,22,192,15,27,7,Bournemouth
