Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Erling Haaland,9.0,no NOR,FW,24-139,90,1,0,0,0,3,2,0,0,19,0,0,0,0.7,0.7,0.0,2,0,8,13,61.5,1,8,0,0,0,Manchester City
Matheus Nunes,27.0,pt POR,"LW,RB",26-102,90,0,1,0,0,1,0,0,0,82,5,2,2,0.1,0.1,0.3,6,1,62,69,89.9,2,54,7,5,3,Manchester City
Sávio,26.0,br BRA,RW,20-241,78,0,0,0,0,3,1,0,0,32,2,0,0,0.3,0.3,0.1,2,0,23,25,92.0,2,29,1,2,1,Manchester City
Jeremy Doku,11.0,be BEL,RW,22-194,12,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,6,9,66.7,1,9,1,1,1,Manchester City
Kevin De Bruyne,17.0,be BEL,AM,33-162,85,0,0,0,0,1,0,0,0,63,0,0,0,0.0,0.0,0.6,5,1,40,56,71.4,6,40,2,1,0,Manchester City
Jack Grealish,10.0,eng ENG,LW,29-088,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,6,0,0,0,Manchester City
İlkay Gündoğan,19.0,de GER,DM,34-044,90,0,0,0,0,2,0,0,0,123,1,1,1,0.1,0.1,0.0,3,0,105,114,92.1,10,82,3,0,0,Manchester City
Bernardo Silva,20.0,pt POR,DM,30-119,90,0,1,0,0,0,0,0,0,75,0,2,3,0.0,0.0,0.2,3,1,50,66,75.8,7,50,2,1,0,Manchester City
Rico Lewis,82.0,eng ENG,LB,20-016,83,1,0,0,0,1,1,2,1,65,0,0,0,0.2,0.2,0.0,1,0,51,56,91.1,7,45,3,2,0,Manchester City
Joško Gvardiol,24.0,hr CRO,"CB,LB",22-319,90,0,0,0,0,1,0,0,0,127,2,1,3,0.1,0.1,0.0,1,1,100,112,89.3,6,89,0,0,0,Manchester City
Rúben Dias,3.0,pt POR,CB,27-207,90,0,0,0,0,0,0,0,0,126,1,1,4,0.0,0.0,0.0,0,0,110,116,94.8,4,94,2,0,0,Manchester City
Kyle Walker,2.0,eng ENG,"RB,CB",34-193,90,0,0,0,0,0,0,0,0,87,3,0,1,0.0,0.0,0.0,0,0,72,82,87.8,11,54,0,0,0,Manchester City
Stefan Ortega,18.0,de GER,GK,32-031,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,35,41,85.4,0,34,0,0,0,Manchester City
13 Players,,,,,983,2,2,0,0,12,4,2,1,854,14,7,15,1.5,1.5,1.3,23,4,665,762,87.3,57,594,21,12,5,Manchester City
