Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Neal Maupay,7.0,fr FRA,FW,23-045,78,0,0,0,0,0,0,1,0,23,0,2,1,0.0,0.0,0.0,0,0,14,18,77.8,1,8,1,1,0,Brighton & Hove Albion
Glenn Murray,17.0,eng ENG,FW,36-003,12,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,1,0,0,Brighton & Hove Albion
Yves Bissouma,8.0,ml MLI,FW,23-029,45,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,10,14,71.4,2,5,0,1,1,Brighton & Hove Albion
Gaëtan Bong,3.0,cm CMR,LB,31-156,45,0,0,0,0,0,0,0,0,28,1,0,1,0.0,0.0,0.2,2,0,16,22,72.7,3,13,1,2,1,Brighton & Hove Albion
Aaron Mooy,18.0,au AUS,"DM,CM",29-013,64,0,0,0,0,0,0,0,0,43,4,0,3,0.0,0.0,0.0,0,0,20,28,71.4,4,18,0,1,0,Brighton & Hove Albion
Aaron Connolly,44.0,ie IRL,FW,19-243,26,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,3,0,1,1,Brighton & Hove Albion
Dale Stephens,6.0,eng ENG,"CM,DM",30-108,90,0,0,0,0,1,1,0,0,88,5,1,0,0.0,0.0,0.0,1,0,66,76,86.8,7,38,1,1,1,Brighton & Hove Albion
Pascal Groß,13.0,de GER,"DM,CM,FW",28-105,90,0,0,0,0,2,0,0,0,57,3,1,0,0.2,0.2,0.3,3,0,29,43,67.4,3,23,5,0,0,Brighton & Hove Albion
Steven Alzate,46.0,co COL,"CM,WB",21-020,90,0,0,0,0,1,0,1,0,43,2,0,1,0.1,0.1,0.0,3,0,29,34,85.3,4,26,3,1,1,Brighton & Hove Albion
Martín Montoya,22.0,es ESP,"RB,WB",28-167,90,0,0,0,0,0,0,0,0,67,4,2,0,0.0,0.0,0.1,2,0,43,53,81.1,2,31,3,2,0,Brighton & Hove Albion
Dan Burn,33.0,eng ENG,CB,27-142,90,0,0,0,0,2,0,0,0,67,1,1,3,0.2,0.2,0.0,0,0,41,48,85.4,1,33,0,3,2,Brighton & Hove Albion
Lewis Dunk,5.0,eng ENG,CB,27-311,90,0,0,0,0,0,0,0,0,85,0,3,0,0.0,0.0,0.0,1,0,68,79,86.1,6,49,0,0,0,Brighton & Hove Albion
Adam Webster,15.0,eng ENG,CB,24-267,90,0,0,0,0,1,0,1,0,89,1,3,3,0.1,0.1,0.0,1,0,64,75,85.3,6,43,2,0,0,Brighton & Hove Albion
Mathew Ryan,1.0,au AUS,GK,27-173,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,39,48,81.3,0,29,0,0,0,Brighton & Hove Albion
14 Players,,,,,990,0,0,0,0,8,1,3,0,670,21,14,12,0.6,0.6,0.6,14,0,443,543,81.6,39,323,17,13,7,Brighton & Hove Albion
