Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Joshua King,7.0,no NOR,FW,27-298,90,0,0,0,0,2,0,0,0,39,0,0,0,0.3,0.3,0.1,3,1,21,26,80.8,2,25,1,3,1,Bournemouth
Callum Wilson,13.0,eng ENG,FW,27-255,90,0,0,0,0,1,0,0,0,24,1,0,0,0.1,0.1,0.0,1,0,12,16,75.0,1,13,1,1,0,Bournemouth
Ryan Fraser,24.0,sct SCO,"LM,WB",25-258,90,0,1,0,0,3,1,0,0,62,0,0,1,1.0,1.0,0.1,4,1,42,56,75.0,13,33,3,1,0,Bournemouth
Philip Billing,29.0,dk DEN,CM,23-151,90,0,0,0,0,3,1,0,0,91,4,2,0,0.1,0.1,0.0,1,0,63,77,81.8,9,46,1,1,1,Bournemouth
Lewis Cook,16.0,eng ENG,CM,22-279,90,0,0,0,0,1,0,0,0,113,1,3,1,0.0,0.0,0.1,9,0,85,97,87.6,11,63,1,4,2,Bournemouth
Harry Wilson,22.0,wls WAL,RM,22-232,65,1,0,0,0,3,2,0,0,29,1,1,1,0.2,0.2,0.0,3,0,17,21,81.0,1,10,1,0,0,Bournemouth
Simon Francis,2.0,eng ENG,CB,34-266,25,0,0,0,0,1,0,0,0,32,0,0,0,0.1,0.1,0.0,2,0,26,31,83.9,2,17,1,0,0,Bournemouth
Diego Rico,21.0,es ESP,LB,26-259,65,0,0,0,0,0,0,0,0,51,0,1,1,0.0,0.0,0.0,0,0,31,44,70.5,3,16,1,2,0,Bournemouth
Dominic Solanke,9.0,eng ENG,AM,22-056,25,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,9,3,1,1,Bournemouth
Nathan Aké,5.0,nl NED,CB,24-264,90,0,0,0,0,0,0,0,0,77,3,0,1,0.0,0.0,0.0,1,0,60,66,90.9,5,46,1,0,0,Bournemouth
Steve Cook,3.0,eng ENG,CB,28-204,90,0,0,0,0,1,0,0,0,95,2,1,1,0.0,0.0,0.0,2,0,66,76,86.8,0,42,0,1,1,Bournemouth
Adam Smith,15.0,eng ENG,"RB,WB",28-194,77,0,0,0,0,0,0,0,0,72,1,0,2,0.0,0.0,0.0,3,0,46,60,76.7,3,37,3,5,2,Bournemouth
Arnaut Danjuma,14.0,nl NED,WB,22-282,13,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,0,11,4,2,1,Bournemouth
Aaron Ramsdale,12.0,eng ENG,GK,21-179,90,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,0,0,23,28,82.1,0,18,0,0,0,Bournemouth
14 Players,,,,,990,1,1,0,0,16,4,0,0,744,14,8,8,1.8,1.8,0.4,29,2,508,620,81.9,51,386,21,21,9,Bournemouth
