Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Callum Wilson,13.0,eng ENG,FW,27-279,90,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,1,13,0,1,1,Bournemouth
Dominic Solanke,9.0,eng ENG,FW,22-080,90,0,0,0,0,0,0,1,0,39,1,0,1,0.0,0.0,0.1,1,0,23,28,82.1,3,24,1,7,3,Bournemouth
Arnaut Danjuma,14.0,nl NED,LM,22-306,63,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,2,0,24,30,80.0,3,30,3,1,1,Bournemouth
Ryan Fraser,24.0,sct SCO,LM,25-282,27,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,15,22,68.2,0,20,2,0,0,Bournemouth
Philip Billing,29.0,dk DEN,CM,23-175,81,0,0,0,0,1,1,1,0,76,5,1,1,0.1,0.1,0.0,2,0,51,59,86.4,11,56,3,3,2,Bournemouth
Lewis Cook,16.0,eng ENG,CM,22-303,9,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,12,12,100.0,3,12,0,1,1,Bournemouth
Jefferson Lerma,8.0,co COL,CM,25-039,90,0,0,0,0,2,1,1,0,97,1,0,0,0.1,0.1,0.0,1,0,75,91,82.4,13,72,1,1,1,Bournemouth
Harry Wilson,22.0,wls WAL,RM,22-256,90,0,0,0,0,0,0,0,0,68,5,0,1,0.0,0.0,0.0,1,0,39,55,70.9,7,48,2,4,1,Bournemouth
Diego Rico,21.0,es ESP,LB,26-283,63,0,0,0,0,0,0,0,0,69,2,1,0,0.0,0.0,0.1,1,0,54,65,83.1,6,47,4,0,0,Bournemouth
Simon Francis,2.0,eng ENG,RB,34-290,27,0,0,0,0,1,0,0,0,22,2,1,0,0.0,0.0,0.0,0,0,10,17,58.8,1,14,0,0,0,Bournemouth
Nathan Aké,5.0,nl NED,CB,24-288,90,0,0,0,0,1,0,0,0,101,3,0,0,0.1,0.1,0.0,1,0,90,92,97.8,11,83,3,0,0,Bournemouth
Chris Mepham,33.0,wls WAL,CB,22-028,90,0,0,0,0,1,1,0,0,87,1,4,1,0.2,0.2,0.0,0,0,65,74,87.8,5,60,0,0,0,Bournemouth
Adam Smith,15.0,eng ENG,"RB,LB",28-218,90,0,0,0,0,0,0,0,0,68,5,1,1,0.0,0.0,0.0,0,0,44,55,80.0,4,42,3,3,3,Bournemouth
Aaron Ramsdale,12.0,eng ENG,GK,21-203,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,0,14,0,0,0,Bournemouth
14 Players,,,,,990,0,0,0,0,6,3,3,0,739,26,8,5,0.4,0.4,0.2,11,0,525,631,83.2,68,535,22,21,13,Bournemouth
