Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Jordan Ayew,9.0,gh GHA,FW,28-083,90,0,0,0,0,2,0,0,0,42,2,1,0,0.1,0.1,0.0,3,1,16,22,72.7,2,22,5,5,2,Crystal Palace
Wilfried Zaha,11.0,ci CIV,"LM,LW",27-023,90,0,0,0,0,1,0,0,0,50,2,0,0,0.0,0.0,0.0,1,0,23,30,76.7,2,37,5,7,4,Crystal Palace
Andros Townsend,10.0,eng ENG,"RM,RW",28-140,45,0,0,0,0,0,0,0,0,19,1,1,1,0.0,0.0,0.0,0,0,10,14,71.4,1,14,2,0,0,Crystal Palace
James McCarthy,22.0,ie IRL,RM,29-021,45,0,0,0,0,0,0,1,0,9,0,1,1,0.0,0.0,0.0,1,0,2,6,33.3,0,4,0,1,1,Crystal Palace
James McArthur,18.0,sct SCO,CM,32-057,90,0,1,0,0,2,1,1,0,48,3,0,0,0.0,0.0,0.2,3,1,32,39,82.1,3,20,0,2,1,Crystal Palace
Luka Milivojević,4.0,rs SRB,CM,28-240,90,0,0,0,0,1,0,1,0,43,1,1,1,0.1,0.1,0.1,1,0,20,32,62.5,2,10,0,0,0,Crystal Palace
Cheikhou Kouyaté,8.0,sn SEN,"CB,CM",29-347,90,0,0,0,0,0,0,0,0,36,2,3,1,0.0,0.0,0.0,1,0,21,22,95.5,4,13,0,2,2,Crystal Palace
Patrick van Aanholt,3.0,nl NED,LB,29-096,28,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.0,0,0,17,19,89.5,4,12,2,1,1,Crystal Palace
Jeffrey Schlupp,15.0,gh GHA,LB,26-345,62,1,0,0,0,1,1,0,0,33,0,1,1,0.1,0.1,0.0,1,0,13,26,50.0,4,9,2,0,0,Crystal Palace
Mamadou Sakho,12.0,fr FRA,CB,29-293,18,0,0,0,0,0,0,0,1,13,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,4,0,0,0,Crystal Palace
James Tomkins,5.0,eng ENG,CB,30-249,90,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,0,0,16,21,76.2,0,8,0,0,0,Crystal Palace
Martin Kelly,34.0,eng ENG,RB,29-220,90,0,0,0,0,0,0,0,0,38,2,3,1,0.0,0.0,0.0,0,0,16,22,72.7,0,11,0,0,0,Crystal Palace
Vicente Guaita,31.0,es ESP,GK,32-327,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,10,31,32.3,0,9,0,0,0,Crystal Palace
13 Players,,,,,918,1,1,0,0,7,2,3,1,417,16,12,7,0.3,0.3,0.3,11,2,205,296,69.3,22,173,16,18,11,Crystal Palace
