Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,Team
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,
Billy Sharp,10.0,eng ENG,FW,33-303,62,0,0,0,0,1,0,1,0,24,0,0,0,0.1,0.1,0.1,5,0,15,20,75.0,1,17,2,2,2,Sheffield United
Lys Mousset,22.0,fr FRA,FW,23-300,28,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,7,71.4,1,6,0,1,1,Sheffield United
Oliver McBurnie,9.0,sct SCO,FW,23-184,90,0,0,0,0,3,2,0,0,34,0,0,1,0.4,0.4,0.0,1,0,16,21,76.2,3,17,1,2,0,Sheffield United
John Fleck,4.0,sct SCO,"CM,DM",28-103,90,0,0,0,0,1,0,0,0,78,1,0,3,0.1,0.1,0.1,3,0,48,69,69.6,8,34,2,1,1,Sheffield United
Oliver Norwood,16.0,nir NIR,CM,28-237,71,0,0,0,0,1,1,0,0,123,2,0,0,0.2,0.2,0.0,2,0,101,119,84.9,19,87,0,0,0,Sheffield United
David McGoldrick,17.0,ie IRL,"AM,CM",32-006,19,0,0,0,0,1,0,0,0,15,3,0,0,0.1,0.1,0.0,0,0,9,11,81.8,1,8,0,0,0,Sheffield United
John Lundstram,7.0,eng ENG,"CM,RM",25-290,90,0,0,0,0,1,0,0,0,95,3,0,0,0.0,0.0,0.0,2,0,74,88,84.1,8,63,1,0,0,Sheffield United
Enda Stevens,3.0,ie IRL,"WB,LB",29-149,90,0,0,0,0,1,1,0,0,95,4,1,0,0.0,0.0,0.2,2,0,69,84,82.1,9,51,3,1,0,Sheffield United
George Baldock,2.0,gr GRE,"WB,RB",26-271,90,0,0,0,0,0,0,0,0,67,2,0,1,0.0,0.0,0.1,5,0,47,58,81.0,0,39,2,3,2,Sheffield United
Jack O'Connell,5.0,eng ENG,CB,25-251,90,0,0,0,0,1,1,0,0,116,1,0,0,0.2,0.2,0.0,0,0,89,110,80.9,13,77,0,0,0,Sheffield United
John Egan,12.0,ie IRL,CB,27-046,90,0,0,0,0,2,1,0,0,88,1,0,1,0.1,0.1,0.0,2,0,73,79,92.4,5,57,2,0,0,Sheffield United
Chris Basham,6.0,eng ENG,CB,31-138,74,0,0,0,0,0,0,0,0,68,1,0,0,0.0,0.0,0.3,1,0,48,57,84.2,3,32,0,1,0,Sheffield United
Luke Freeman,8.0,eng ENG,LM,27-258,16,0,0,0,0,0,0,1,0,14,0,1,0,0.0,0.0,0.1,1,0,11,12,91.7,1,10,2,0,0,Sheffield United
Dean Henderson,1.0,eng ENG,GK,22-268,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,18,25,72.0,0,16,0,0,0,Sheffield United
14 Players,,,,,990,0,0,0,0,13,6,2,0,852,18,2,6,1.1,1.1,0.8,25,0,623,760,82.0,72,514,15,11,6,Sheffield United
